url;title;authors;abstract;subject
https://arxiv.org/abs/1103.0009;HST/STIS Lyman-alpha observations of the quiet M dwarf GJ436:  Predictions for the exospheric transit signature of the hot neptune GJ436b; David Ehrenreich,  Alain Lecavelier des Etangs,  Xavier Delfosse;"  Lyman-alpha (Lya) emission of neutral hydrogen (1215.67 Angstr\""om) is the main contributor to the ultraviolet flux of low-mass stars such as M dwarfs. It is also the main light source used in studies of the evaporating upper atmospheres of transiting extrasolar planets with ultraviolet transmission spectroscopy. However, there are very few observations of the Lya emissions of quiet M dwarfs, and none exist for those hosting exoplanets. Here, we present Lya observations of the hot-neptune host star GJ436 with the Hubble Space Telescope Imaging Spectrograph (HST/STIS). We detect bright emission in the first resolved and high quality spectrum of a quiet M dwarf at Lya. Using an energy diagram for exoplanets and an N-body particle simulation, this detection enables the possible exospheric signature of the hot neptune to be estimated as a ~11% absorption in the Lya stellar emission, for a typical mass-loss rate of 10^10 g/s. The atmosphere of the planet GJ436b is found to be stable to evaporation, and should be readily observable with HST. We also derive a correlation between X-ray and Lya emissions for M dwarfs. This correlation will be useful for predicting the evaporation signatures of planets transiting other quiet M dwarfs. ";"Earth and Planetary Astrophysics (astro-ph.EP); Solar and Stellar Astrophysics (astro-ph.SR)"
https://arxiv.org/abs/1103.0010;A Search for Additional Planets in Five of the Exoplanetary Systems  Studied by the NASA EPOXI Mission; Sarah Ballard,  Jessie L. Christiansen,  David Charbonneau,  Drake Deming,  Matthew J. Holman,  Michael F. A'Hearn,  Dennis D. Wellnitz,  Richard K. Barry,  Marc J. Kuchner,  Timothy A. Livengood,  Tilak Hewagama,  Jessica M. Sunshine,  Don L. Hampton,  Carey M. Lisse,  Sara Seager,  Joseph F. Veverka;  We present time series photometry and constraints on additional planets in five of the exoplanetary systems studied by the EPOCh (Extrasolar Planet Observation and Characterization) component of the NASA EPOXI mission: HAT-P-4, TrES-3, TrES-2, WASP-3, and HAT-P-7. We conduct a search of the high-precision time series for photometric transits of additional planets. We find no candidate transits with significance higher than our detection limit. From Monte Carlo tests of the time series using putative periods from 0.5 days to 7 days, we demonstrate the sensitivity to detect Neptune-sized companions around TrES-2, sub-Saturn-sized companions in the HAT-P-4, TrES-3, and WASP-3 systems, and Saturn-sized companions around HAT-P-7. We investigate in particular our sensitivity to additional transits in the dynamically favorable 3:2 and 2:1 exterior resonances with the known exoplanets: if we assume coplanar orbits with the known planets, then companions in these resonances with HAT-P-4b, WASP-3b, and HAT-P-7b would be expected to transit, and we can set lower limits on the radii of companions in these systems. In the nearly grazing exoplanetary systems TrES-3 and TrES-2, additional coplanar planets in these resonances are not expected to transit. However, we place lower limits on the radii of companions that would transit if the orbits were misaligned by 2.0 degrees and 1.4 degrees for TrES-3 and TrES-2, respectively. ;Earth and Planetary Astrophysics (astro-ph.EP)
https://arxiv.org/abs/1103.0011;Mass-loss rates for transiting exoplanets; David Ehrenreich,  Jean-Michel Désert;"  Exoplanets at small orbital distances from their host stars are submitted to intense levels of energetic radiations, X-rays and extreme ultraviolet (EUV). Depending on the masses and densities of the planets and on the atmospheric heating efficiencies, the stellar energetic inputs can lead to atmospheric mass loss. These evaporation processes are observable in the ultraviolet during planetary transits. The aim of the present work is to quantify the mass-loss rates (dm/dt), heating efficiencies (eta), and lifetimes for the whole sample of transiting exoplanets, now including hot jupiters, hot neptunes, and hot super-earths. The mass-loss rates and lifetimes are estimated from an ""energy diagram"" for exoplanets, which compares the planet gravitational potential energy to the stellar X/EUV energy deposited in the atmosphere. We estimate the mass-loss rates of all detected transiting planets to be within 10^6 to 10^13 g/s for various conservative assumptions. High heating efficiencies would imply that hot exoplanets such the gas giants WASP-12b and WASP-17b could be completely evaporated within 1 Gyr. We further show that the heating efficiency can be constrained when dm/dt is inferred from observations and the stellar X/EUV luminosity is known. This leads us to suggest that eta ~ 100% in the atmosphere of the hot jupiter HD209458b, while it could be lower for HD189733b. Simultaneous observations of transits in the ultraviolet and X-rays are necessary to further constrain the exospheric properties of exoplanets. ";"Earth and Planetary Astrophysics (astro-ph.EP); Solar and Stellar Astrophysics (astro-ph.SR)"
https://arxiv.org/abs/1103.0026;Hubble Space Telescope Transmission Spectroscopy of the Exoplanet HD  189733b: High-altitude atmospheric haze in the optical and near-UV with STIS; D. K. Sing,  F. Pont,  S. Aigrain,  D. Charbonneau,  J.-M. Desert,  N. Gibson,  R. Gilliland,  W. Hayek,  G. Henry,  H. Knutson,  A. Lecavelier des Etangs,  T. Mazeh,  A. Shporer;  We present Hubble Space Telescope optical and near-ultraviolet transmission spectra of the transiting hot-Jupiter HD189733b, taken with the repaired Space Telescope Imaging Spectrograph (STIS) instrument. The resulting spectra cover the range 2900-5700 Ang and reach per-exposure signal-to-noise levels greater than 11,000 within a 500 Ang bandwidth. We used time series spectra obtained during two transit events to determine the wavelength dependance of the planetary radius and measure the exoplanet's atmospheric transmission spectrum for the first time over this wavelength range. Our measurements, in conjunction with existing HST spectra, now provide a broadband transmission spectrum covering the full optical regime. The STIS data also shows unambiguous evidence of a large occulted stellar spot during one of our transit events, which we use to place constraints on the characteristics of the K dwarf's stellar spots, estimating spot temperatures around Teff~4250 K. With contemporaneous ground-based photometric monitoring of the stellar variability, we also measure the correlation between the stellar activity level and transit-measured planet-to-star radius contrast, which is in good agreement with predictions. We find a planetary transmission spectrum in good agreement with that of Rayleigh scattering from a high-altitude atmospheric haze as previously found from HST ACS camera. The high-altitude haze is now found to cover the entire optical regime and is well characterised by Rayleigh scattering. These findings suggest that haze may be a globally dominant atmospheric feature of the planet which would result in a high optical albedo at shorter optical wavelengths. ;Earth and Planetary Astrophysics (astro-ph.EP)
https://arxiv.org/abs/1103.0035;The GROUSE project II: Detection of the Ks-band secondary eclipse of  exoplanet HAT-P-1b; E. J. W. de Mooij (1),  R. J. de Kok (2) S. V. Nefs (1),  I. A. G. Snellen (1),  ((1) Leiden Observatory, Leiden University, (2) SRON Netherlands Institute for Space Research);  Context: Only recently it has become possible to measure the thermal emission from hot-Jupiters at near-Infrared wavelengths using ground-based telescopes, by secondary eclipse observations. This allows the planet flux to be probed around the peak of its spectral energy distribution, which is vital for the understanding of its energy budget. Aims: The aim of the reported work is to measure the eclipse depth of the planet HAT-P-1b at 2.2micron. This planet is an interesting case, since the amount of stellar irradiation it receives falls in between that of the two best studied systems (HD209458 and HD189733), and it has been suggested to have a weak thermal inversion layer. Methods: We have used the LIRIS instrument on the William Herschel Telescope (WHT) to observe the secondary eclipse of HATP-1b in the Ks-band, as part of our Ground-based secondary eclipse (GROUSE) project. The observations were done in staring mode, while significantly defocusing the telescope to avoid saturation on the K=8.4 star. With an average cadence of 2.5 seconds, we collected 6520 frames during one night. Results: The eclipse is detected at the 4sigma level, the measured depth being 0.109+/-0.025%. The uncertainties are dominated by residual systematic effects, as estimated from different reduction/analysis procedures. The measured depth corresponds to a brightness temperature of 2136+150-170K. This brightness temperature is significantly higher than those derived from longer wavelengths, making it difficult to fit all available data points with a plausible atmospheric model. However, it may be that we underestimate the true uncertainties of our measurements, since it is notoriously difficult to assign precise statistical significance to a result when systematic effects are important. ;Earth and Planetary Astrophysics (astro-ph.EP)
https://arxiv.org/abs/1103.0199;An Analysis of Jitter and Transit Timing Variations in the HAT-P-13  System; Matthew J. Payne,  Eric B. Ford;  If the two planets in the HAT-P-13 system are coplanar, the orbital states provide a probe of the internal planetary structure. Previous analyses of radial velocity and transit timing data of the system suggested that the observational constraints on the orbital states were rather small. We reanalyze the available data, treating the jitter as an unknown MCMC parameter, and find that a wide range of jitter values are plausible, hence the system parameters are less well constrained than previously suggested. For slightly increased levels of jitter ($\sim 4.5\,m\,s^{-1}$) the eccentricity of the inner planet can be in the range $0<e_{inner}<0.07$, the period and eccentricity of the outer planet can be $440<P_{outer}<470$ days and $0.55<e_{outer}<0.85$ respectively, while the relative pericenter alignment, $\eta$, of the planets can take essentially any value $-180^{\circ}<\eta<+180^{\circ}$. It is therefore difficult to determine whether $e_{inner}$ and $\eta$ have evolved to a fixed-point state or a limit cycle, or to use $e_{inner}$ to probe the internal planetary structure. We perform various transit timing variation (TTV) analyses, demonstrating that current constraints merely restrict $e_{outer}<0.85$, and rule out relative planetary inclinations within $\sim 2^{\circ}$ of $i_{rel}=90^{\circ}$, but that future observations could significantly tighten the restriction on both these parameters. We demonstrate that TTV profiles can readily distinguish the theoretically favored inclinations of $i_{rel}=0^{\circ}\,&\,45^{\circ}$, provided that sufficiently precise and frequent transit timing observations of HAT-P-13b can be made close to the pericenter passage of HAT-P-13c. We note the relatively high probability that HAT-P-13c transits and suggest observational dates and strategies. ;"Earth and Planetary Astrophysics (astro-ph.EP); Instrumentation and Methods for Astrophysics (astro-ph.IM)"
https://arxiv.org/abs/1103.0225;Water ice at low to midlatitudes on Mars; Mathieu Vincendon,  François Forget,  John Mustard;  In this paper, we analyze water ice occurrences at the surface of Mars using near-infrared observations, and we study their distribution with a climate model. Latitudes between 45{\deg}S and 50{\deg}N are considered. Data from the Observatoire pour la Min\'eralogie, l'Eau, les Glaces et l'Actitit\'e and the Compact Reconnaissance Imaging Spectrometer for Mars are used to assess the presence of surface water ice as a function of location and season. A modeling approach combining the 1-D and 3-D versions of the General Circulation Model of the Laboratoire de M\'et\'eorologie Dynamique de Jussieu is developed and successfully compared to observations. Ice deposits 2-200 \mu m thick are observed during the day on pole facing slopes in local fall, winter and early spring. Ice extends down to 13{\deg} latitude in the Southern Hemisphere but is restricted to latitudes higher than 32{\deg} in the north. On a given slope, the pattern of ice observations at the surface is mainly controlled by the global variability of atmospheric water (precipitation and vapor), with local ground properties playing a lower role. Only seasonal surface ice is observed: no exposed patches of perennial ground ice have been detected. Surface seasonal ice is however sensitive to subsurface properties: the results presented in this study are consistent with the recent discovery of low latitude subsurface ice obtained through the analysis of CO2 frost. ;Earth and Planetary Astrophysics (astro-ph.EP)
https://arxiv.org/abs/1103.0274;Solar system constraints on Rindler acceleration; Sante Carloni,  Daniel Grumiller,  Florian Preis;  We discuss the classical tests of general relativity in the presence of Rindler acceleration. Among these tests the perihelion shifts give the tightest constraints and indicate that the Pioneer anomaly cannot be caused by a universal solar system Rindler acceleration. We address potential caveats for massive test-objects. Our tightest bound on Rindler acceleration that comes with no caveats is derived from radar echo delay and yields |a|<3nm/s^2. ;"Earth and Planetary Astrophysics (astro-ph.EP); Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th)"
https://arxiv.org/abs/1103.0297;Upper limits for undetected trace species in the stratosphere of Titan; Conor A. Nixon,  Richard K. Achterberg,  Nicholas A. Teanby,  Patrick G. J. Irwin,  Jean-Marie Flaud,  Isabelle Kleiner,  Alix Dehayem-Kamadjeu,  Linda R. Brown,  Robert L. Sams,  Bruno Bézard,  Athena Coustenis,  Todd M. Ansty,  Andrei Mamoutkine,  Sandrine Vinatier,  Gordon L. Bjoraker,  Donald E. Jennings,  Paul. N. Romani,  F. Michael Flasar;  In this paper we describe a first quantitative search for several molecules in Titan's stratosphere in Cassini CIRS infrared spectra. These are: ammonia (NH3), methanol (CH3OH), formaldehyde (H2CO), and acetonitrile (CH3CN), all of which are predicted by photochemical models but only the last of which observed, and not in the infrared. We find non-detections in all cases, but derive upper limits on the abundances from low-noise observations at 25{\deg}S and 75{\deg}N. Comparing these constraints to model predictions, we conclude that CIRS is highly unlikely to see NH3 or CH3OH emissions. However, CH3CN and H2CO are closer to CIRS detectability, and we suggest ways in which the sensitivity threshold may be lowered towards this goal. ;Earth and Planetary Astrophysics (astro-ph.EP)
https://arxiv.org/abs/1103.0330;Cavities as a source of outbursts from comets; Sergei I. Ipatov;  Analysis of observations of natural and triggered outbursts from different comets testifies in favor of existence of large cavities with material under gas pressure below a considerable fraction of a comet's surface. Based on analysis of images of the cloud of material ejected from Comet 9P/Tempel 1 after the collision of the Deep Impact (DI) module with the comet, we studied the time variations in the rate and velocities of ejection of observed particles (mainly icy particles with diameter d<3 micron). Comparison of these dependencies with the theoretical dependencies allowed us to understand the time variations in the rate of the outburst triggered by the impact. The latter variations testify in favor of that there were cavities at the place of DI ejection. The beginning of the increase of the main outburst at 8 s after the DI impact could be caused by excavation of a relatively large cavity that contained dust and gas under pressure. The upper boarder of the cavity could be located at about 5-10 meters below the surface of the comet. This cavity could be deep because the excavation from the cavity could last for at least a few tens of seconds. With the increase of the crater, more cavities could be excavated. The outburst decreased at ~60 s after the impact. Besides the 'fast' outburst caused by ejection from cavities, there was a 'slow' outburst ejection, which was similar to the ejection from a 'fresh' surface of a comet and could be noticeable during 30-60 min. The 'fast' outburst with velocities ~100 m/s probably could continue for at least several tens of seconds, and it could significantly increase the fraction of particles ejected with velocities ~100 m/s compared with theoretical models of ejection. ;Earth and Planetary Astrophysics (astro-ph.EP)
