url;title;authors;abstract;subject
https://arxiv.org/abs/1002.0001;Binary Contamination in the SEGUE sample: Effects on SSPP Determinations  of Stellar Atmospheric Parameters; Katharine J. Schlesinger,  Jennifer A. Johnson,  Young Sun Lee,  Thomas Masseron,  Brian Yanny,  Constance M. Rockosi,  B. Scott Gaudi,  Timothy C. Beers;"  Using numerical modeling and a grid of synthetic spectra, we examine the effects that unresolved binaries have on the determination of various stellar atmospheric parameters for SEGUE targets measured using the SEGUE Stellar Parameter Pipeline (SSPP). To model undetected binaries that may be in the SEGUE sample, we use a variety of mass distributions for the primary and secondary stars in conjunction with empirically determined relationships for orbital parameters to determine the fraction of G-K dwarf stars, as defined by SDSS color cuts, that will be blended with a secondary companion. We focus on the G-K dwarf sample in SEGUE as it records the history of chemical enrichment in our galaxy. To determine the effect of the secondary on the spectroscopic parameters, we synthesize a grid of model spectra from 3275 to 7850 K (~0.1 to 1.0 \msun) and [Fe/H]=-0.5 to -2.5 from MARCS model atmospheres using TurboSpectrum. We analyze both ""infinite"" signal-to-noise ratio (S/N) models and degraded versions, at median S/N of 50, 25 and 10. By running individual and combined spectra (representing the binaries) through the SSPP, we determine that ~10% of the blended G-K dwarf pairs with S/N>=25 will have their atmospheric parameter determinations, in particular temperature and metallicity, noticeably affected by the presence of an undetected secondary. To account for the additional uncertainty from binary contamination at a S/N~10, uncertainties of ~140 K and ~0.17 dex in [Fe/H] must be added in quadrature to the published uncertainties of the SSPP. (Abridged) ";Solar and Stellar Astrophysics (astro-ph.SR)
https://arxiv.org/abs/1002.0025;Magnetic Doppler imaging of alpha^2 Canum Venaticorum in all four Stokes  parameters. Unveiling the hidden complexity of stellar magnetic fields; O. Kochukhov,  G.A. Wade;"  Strong organized magnetic fields have been studied in the upper main sequence chemically peculiar stars for more than half a century. However, only recently have observational methods and numerical techniques become sufficiently mature to allow us to record and interpret high-resolution four Stokes parameter spectra, leading to the first assumption-free magnetic field models of these stars. Here we present a detailed magnetic Doppler imaging analysis of the spectropolarimetric observations of the prototypical magnetic Ap star alpha^2 CVn. The surface abundance distributions of Fe and Cr and a full vector map of the stellar magnetic field are reconstructed in a self-consistent inversion using our state-of-the-art magnetic Doppler imaging code Invers10. We succeeded in reproducing most of the details of the available spectropolarimetric observations of alpha^2 CVn with a magnetic map which combines a global dipolar-like field topology with localized spots of higher field intensity. We demonstrate that these small-scale magnetic structures are inevitably required to fit the linear polarization spectra; however, their presence cannot be inferred from the Stokes I and V observations alone. Our magnetic Doppler imaging analysis of alpha^2 CVn and previous results for 53 Cam support the view that the upper main sequence stars can harbour fairly complex surface magnetic fields which resemble oblique dipoles only at the largest spatial scales. Spectra in all four Stokes parameters are absolutely essential to unveil and meaningfully characterize this field complexity in Ap stars. We therefore suggest that understanding magnetism of stars in other parts of the H-R diagram is similarly incomplete without investigation of their linear polarization spectra. ";Solar and Stellar Astrophysics (astro-ph.SR)
https://arxiv.org/abs/1002.0244;Radiative emission of solar features in Ca II K; S. Criscuoli,  I. Ermolli,  J. Fontenla,  F. Giorgi,  M. Rast,  S. Solanki,  H. Uitenbroek;  We investigated the radiative emission of different types of solar features in the spectral range of the Ca II K line. We analyzed full-disk 2k x 2k observations from the PSPT Precision Solar Photometric Telescope. The data were obtained by using three narrow-band interference filters that sample the Ca II K line with different pass bands. Two filters are centered in the line core, the other in the red wing of the line. We measured the intensity and contrast of various solar features, specifically quiet Sun (inter-network), network, enhanced network, plage, and bright plage (facula) regions. Moreover, we compared the results obtained with those derived from the numerical synthesis performed for the three PSPT filters with a widely used radiative code on a set of reference semi-empirical atmosphere models. ;Solar and Stellar Astrophysics (astro-ph.SR)
https://arxiv.org/abs/1002.0288;VLT-MAD observations of the core of 30 Doradus; M. A. Campbell (IfA, University of Edinburgh),  C. J. Evans,  A. D. Mackey,  M. Gieles,  J. Alves,  J. Ascenso,  N. Bastian,  A. J. Longmore;"  We present H- and Ks-band imaging of three fields at the centre of 30 Doradus in the Large Magellanic Cloud, obtained as part of the Science Demonstration programme with the Multi-conjugate Adaptive optics Demonstrator (MAD) at the Very Large Telescope. Strehl ratios of 15-30% were achieved in the Ks-band, yielding near-infrared images of this dense and complex region at unprecedented angular resolution at these wavelengths. The MAD data are used to construct a near-infrared luminosity profile for R136, the cluster at the core of 30 Dor. Using cluster profiles of the form used by Elson et al., we find the surface brightness can be fit by a relatively shallow power-law function (gamma~1.5-1.7) over the full extent of the MAD data, which extends to a radius of ~40"" (~10pc). We do not see compelling evidence for a break in the luminosity profile as seen in optical data in the literature, arguing that cluster asymmetries are the dominant source, although extinction effects and stars from nearby triggered star-formation likely also contribute. These results highlight the need to consider cluster asymmetries and multiple spatial components in interpretation of the luminosity profiles of distant unresolved clusters. We also investigate seven candidate young stellar objects reported by Gruendl & Chu from Spitzer observations, six of which have apparent counterparts in the MAD images. The most interesting of these (GC09: 053839.24-690552.3) appears related to a striking bow-shock--like feature, orientated away from both R136 and the Wolf-Rayet star Brey 75, at distances of 19.5"" and 8"" (4.7 and 1.9pc in projection), respectively. ";"Solar and Stellar Astrophysics (astro-ph.SR); Instrumentation and Methods for Astrophysics (astro-ph.IM)"
https://arxiv.org/abs/1002.0297;Extended Coronal Heating and Solar Wind Acceleration Over the Solar  Cycle; Steven R. Cranmer,  John L. Kohl,  Mari Paz Miralles,  Adriaan A. van Ballegooijen (Harvard-Smithsonian CfA);  This paper reviews our growing understanding of the physics behind coronal heating (in open-field regions) and the acceleration of the solar wind. Many new insights have come from the last solar cycle's worth of observations and theoretical work. Measurements of the plasma properties in the extended corona, where the primary solar wind acceleration occurs, have been key to discriminating between competing theories. We describe how UVCS/SOHO measurements of coronal holes and streamers over the last 14 years have provided clues about the detailed kinetic processes that energize both fast and slow wind regions. We also present a brief survey of current ideas involving the coronal source regions of fast and slow wind streams, and how these change over the solar cycle. These source regions are discussed in the context of recent theoretical models (based on Alfven waves and MHD turbulence) that have begun to successfully predict both the heating and acceleration in fast and slow wind regions with essentially no free parameters. Some new results regarding these models - including a quantitative prediction of the lower density and temperature at 1 AU seen during the present solar minimum in comparison to the prior minimum - are also shown. ;Solar and Stellar Astrophysics (astro-ph.SR)
https://arxiv.org/abs/1002.0302;Gas Absorption in the KH 15D System: Further Evidence for Dust Settling  in the Circumbinary Disk; S. M. Lawler,  W. Herbst,  S. Redfield,  C. M. Hamilton,  C. M. Johns-Krull,  J. N. Winn,  J. A. Johnson,  R. Mundt;"  Na I D lines in the spectrum of the young binary KH 15D have been analyzed in detail. We find an excess absorption component that may be attributed to foreground interstellar absorption, and to gas possibly associated with the solids in the circumbinary disk. The derived column density is log N_NaI = 12.5 cm^-2, centered on a radial velocity that is consistent with the systemic velocity. Subtracting the likely contribution of the ISM leaves log N_NaI ~ 12.3 cm^-2. There is no detectable change in the gas column density across the ""knife edge"" formed by the opaque grain disk, indicating that the gas and solids have very different scale heights, with the solids being highly settled. Our data support a picture of this circumbinary disk as being composed of a very thin particulate grain layer composed of millimeter-sized or larger objects that are settled within whatever remaining gas may be present. This phase of disk evolution has been hypothesized to exist as a prelude to the formation of planetesimals through gravitational fragmentation, and is expected to be short-lived if much gas were still present in such a disk. Our analysis also reveals the presence of excess Na I emission relative to the comparison spectrum at the radial velocity of the currently visible star that plausibly arises within the magnetosphere of this still-accreting young star. ";"Solar and Stellar Astrophysics (astro-ph.SR); Earth and Planetary Astrophysics (astro-ph.EP)"
https://arxiv.org/abs/1002.0339;The Polar CSS 081231:071126+440405 at a Low Accretion Rate; Katie Thorne,  Peter Garnavich,  Katherine Mohrig;"  Time-resolved photometry of the eclipsing polar CSS 081231:071126+44040 was obtained with the Vatican Advanced Technology Telescope (VATT) on four nights in October 2009. The light curve shows a single accretion hotspot lagging 10 degrees behind the secondary. The last two nights of data show ""sputtering"" accretion and the hotspot nearly disappears in consecutive orbits. ";Solar and Stellar Astrophysics (astro-ph.SR)
https://arxiv.org/abs/1002.0397;Coherent Lateral Motion of Penumbral Filaments during X-class Flare; S. Gosain,  P. Venkatakrishnan,  Sanjiv Kumar Tiwari;  The high-resolution pictures of the solar photosphere from space based 50 cm Solar Optical Telescope (SOT) on-board Hinode spacecraft, are now routinely observed. Such images of a delta-sunspot in NOAA 10930 were obtained by Hinode during 13 December 2006 while a X-class flare occurred in this active region. Two bright ribbons were visible even in white light and G-band images apart from chromospheric Ca II H images. We register the sunspot globally using cross-correlation technique and analyse local effects during flare interval. We find that during flare the penumbral filaments show lateral motion. Also, we locate two patches, one in either polarity, which show converging motion towards the polarity inversion line (PIL). In Ca II H images we find kernel with pre-flare brightening which lie along the PIL. ;Solar and Stellar Astrophysics (astro-ph.SR)
https://arxiv.org/abs/1002.0413;Statistical properties of flares and sunspots over the solar cycle; M. Temmer;  The present paper reviews results derived from statistical studies on solar activity indices. The prolonged minimum phase of cycle 23 raised the question of peculiarities inherent in cycle 23. The most important solar activity index is the relative sunspot number and though most of other indices are closely related, shifts are obtained between their peak activity of the order of 1-2 years. These shifts reveal a 22-yr pattern which can be attributed to solar interior or dynamo related processes. The minimum phase of cycle 23 is not found to be exceptional. Investigating the relative sunspot numbers over the past 150 years, solar cycles of more prolonged minima are observed. Since 1920 solar activity is quite high ('modern maximum') and cycle 23 might be the herald of the end of this phase. ;Solar and Stellar Astrophysics (astro-ph.SR)
https://arxiv.org/abs/1002.0469;Three-Dimensional Propagation of Magnetohydrodynamic Waves in Solar  Coronal Arcades; S. Rial,  I. Arregui,  J. Terradas,  R. Oliver,  J.L. Ballester;  We numerically investigate the excitation and temporal evolution of oscillations in a two-dimensional coronal arcade by including the three-dimensional propagation of perturbations. The time evolution of impulsively generated perturbations is studied by solving the linear, ideal magnetohydrodynamic (MHD) equations in the zero-beta approximation. As we neglect gas pressure the slow mode is absent and therefore only coupled MHD fast and Alfven modes remain. Two types of numerical experiments are performed. First, the resonant wave energy transfer between a fast normal mode of the system and local Alfven waves is analyzed. It is seen how, because of resonant coupling, the fast wave with global character transfers its energy to Alfvenic oscillations localized around a particular magnetic surface within the arcade, thus producing the damping of the initial fast MHD mode. Second, the time evolution of a localized impulsive excitation, trying to mimic a nearby coronal disturbance, is considered. In this case, the generated fast wavefront leaves its energy on several magnetic surfaces within the arcade. The system is therefore able to trap energy in the form of Alfvenic oscillations, even in the absence of a density enhancement such as that of a coronal loop. These local oscillations are subsequently phase-mixed to smaller spatial scales. The amount of wave energy trapped by the system via wave energy conversion strongly depends on the wavelength of perturbations in the perpendicular direction, but is almost independent from the ratio of the magnetic to density scale heights. ;Solar and Stellar Astrophysics (astro-ph.SR)
