url;title;authors;abstract;subject
https://arxiv.org/abs/1309.0060;Comparative studies of many-body corrections to an interacting Bose  condensate; Shohei Watabe,  Yoji Ohashi;  We compare many-body theories describing fluctuation corrections to the mean-field theory in a weakly interacting Bose-condensed gas. Using a generalized random-phase approximation, we include both density fluctuations and fluctuations in the particle-particle scattering channel in a consistent manner. We also separately examine effects of the fluctuations within the framework of the random-phase approximation. Effects of fluctuations in the particle-particle scattering channel are also separately examined by using the many-body T-matrix approximation. We assess these approximations with respect to the transition temperature, the order of phase transition, as well as the so-called Nepomnyashchii-Nepomnyashchii identity, which states the vanishing off-diagonal self-energy in the low-energy and low-momentum limit. Since the construction of a consistent theory for interacting bosons which satisfies various required conditions is a long standing problem in cold atom physics, our results would be useful for this important challenge. ;Quantum Gases (cond-mat.quant-gas)
https://arxiv.org/abs/1309.0181;Degenerate Bose Gas: A New Tool for Accurate Frequency Measurement; A.B. Bhattacherjee,  S. De;  We propose a new way of detecting frequencies using superradiant Rayleigh scattering from degenerate Bose gases. A measurement of the time evolution of population at the initial momentum state could determine an unknown frequency with respect to a known one at which the pump laser's frequency modulates. A range of frequencies from kHz to MHz could be determined with a fractional uncertainty of 10^{-6}. ;Quantum Gases (cond-mat.quant-gas)
https://arxiv.org/abs/1309.0219;Polarons, Dressed Molecules, and Itinerant Ferromagnetism in ultracold  Fermi gases; Pietro Massignan,  Matteo Zaccanti,  Georg M. Bruun;  In this review, we discuss the properties of a few impurity atoms immersed in a gas of ultracold fermions, the so-called Fermi polaron problem. On one side, this many-body system is appealing because it can be described almost exactly with simple diagrammatic and/or variational theoretical approaches. On the other, it provides quantitatively reliable insight into the phase diagram of strongly interacting population imbalanced quantum mixtures. In particular, we show that the polaron problem can be applied to study itinerant ferromagnetism, a long standing problem in quantum mechanics. ;"Quantum Gases (cond-mat.quant-gas); Quantum Physics (quant-ph)"
https://arxiv.org/abs/1309.0258;Topological Uniform Superfluid and FFLO Phases in 3D to 1D crossover of  spin-orbit coupled Fermi gases; Kangjun Seo,  Chuanwei Zhang,  Sumanta Tewari;"  We consider the quasi-one dimensional system realized by an array of weakly coupled parallel one-dimensional ""tubes"" in a two-dimensional lattice which permits free motion of atoms in an axial direction in the presence of a Zeeman field, Rashba type spin orbit coupling (SOC), and an s-wave attractive interaction, while the radial motion is tightly confined. We solve the zero-temperature (T=0) Bogoliubov-de Gennes (BdG) equations for the quasi-1D Fermi gas with the dispersion modified by tunneling between the tubes, and show that the T=0 phase diagram hosts the Fulde-Ferrell-Larkin-Ovchinnikov (FFLO) phase with non-zero center of mass momentum Cooper pairs for small values of the SOC while for larger values of the SOC and high Zeeman fields the uniform superfluid phase with zero center of mass momentum Cooper pairs has an instability towards the topological uniform superfluid phase with Majorana fermions at the tube ends. Also, we show that tuning the two-dimensional optical lattice strength in this model allows one to explore the crossover behaviors of the phases during the transition between the 3D and the 1D system and in general the FFLO (for small SOC) and the topological uniform superfluid phase (for large SOC) are favored as the system becomes more one-dimensional. We also find evidence of the existence of a Zeeman tuned topological quantum phase transition (TQPT) within the FFLO phase itself and for large values of the Zeeman field and small SOC the TQPT gives rise to a topologically distinct FFLO phase. ";Quantum Gases (cond-mat.quant-gas)
https://arxiv.org/abs/1309.0272;Pair Correlations in the Two-Dimensional Fermi Gas; V. Ngampruetikorn,  J. Levinsen,  Meera M. Parish;  We consider the two-dimensional Fermi gas at finite temperature with attractive short-range interactions. Using the virial expansion, which provides a controlled approach at high temperatures, we determine the spectral function and contact for the normal state. Our calculated spectra are in qualitative agreement with recent photoemission measurements [M. Feld et al., Nature 480, 75 (2011)], thus suggesting that the observed pairing gap is a feature of the high-temperature gas rather than being evidence of a pseudogap regime just above the superfluid transition temperature. We further argue that the strong pair correlations result from the fact that the crossover to bosonic dimers occurs at weaker interactions than previously assumed. ;Quantum Gases (cond-mat.quant-gas)
https://arxiv.org/abs/1309.0514;String order in dipole-blockaded quantum liquids; Hendrik Weimer;  We study the quantum melting of quasi-one-dimensional lattice models in which the dominant energy scale is given by a repulsive dipolar interaction. By constructing an effective low-energy theory, we show that the melting of crystalline phases can occur into two distinct liquid phases, having the same algebraic decay of density-density correlations, but showing a different non-local correlation function expressing string order. We present possible experimental realizations using ultracold atoms and molecules, introducing an implementation based on resonantly driven Rydberg atoms that offers additional benefits compared to a weak admixture of the Rydberg state. ;"Quantum Gases (cond-mat.quant-gas); Atomic Physics (physics.atom-ph); Quantum Physics (quant-ph)"
https://arxiv.org/abs/1309.0523;Formation and detection of a chiral orbital Bose liquid in an optical  lattice; Xiaopeng Li,  Arun Paramekanti,  Andreas Hemmerich,  W. Vincent Liu;"  Recent experiments on $p$-orbital atomic bosons have suggested the emergence of a spectacular ultracold superfluid with staggered orbital currents in optical lattices. This raises fundamental questions like the effects of collective thermal fluctuations, and how to directly observe such chiral order. Here, we show via Monte Carlo simulations that thermal fluctuations destroy this superfluid in an unexpected two-step process, unveiling an intermediate normal phase with spontaneously broken time-reversal symmetry, dubbed ""chiral Bose liquid"". For integer fillings ($n\geq 2$) in the chiral Mott regime, thermal fluctuations are captured by an effective orbital Ising model, and Onsager's powerful exact solution is adopted to determine the transition from this intermediate liquid to the para-orbital normal phase at high temperature. A suitable lattice quench is designed to convert the staggered angular momentum, previously thought by experts difficult to directly probe, into coherent orbital oscillations, providing a smoking-gun signature of chiral order. ";Quantum Gases (cond-mat.quant-gas)
https://arxiv.org/abs/1309.0606;Bose-Einstein Condensates with Cavity-Mediated Spin-Orbit Coupling; Y. Deng,  J. Cheng,  H. Jing,  S. Yi;  We propose a novel scheme to generate the spin-orbit coupling for a condensate placed inside an optical cavity by using a standing wave and a traveling wave. It is shown that the interplay of the laser lights and the cavity gives rise to rich quantum phases. Our scheme also generates an nontrivial lattice of the magnetic flux, which may facilitate the study of the exotic quantum phases. ;Quantum Gases (cond-mat.quant-gas)
https://arxiv.org/abs/1309.0667;Interaction effects on dynamic correlations in non-condensed Bose gases; A. Bezett,  H.J. van Driel,  M.P. Mink,  H.T.C. Stoof,  R.A. Duine;  We consider dynamic, i.e., frequency-dependent, correlations in non-condensed ultracold atomic Bose gases. In particular, we consider the single-particle correlation function and its power spectrum. We compute this power spectrum for a one-component Bose gas, and show how it depends on the interatomic interactions that lead to a finite single-particle relaxation time. As another example, we consider the power spectrum of spin-current fluctuations for a two-component Bose gas and show how it is determined by the spin-transport relaxation time. ;Quantum Gases (cond-mat.quant-gas)
https://arxiv.org/abs/1309.0727;Spin relaxation in ultracold spin-orbit coupled $^{40}$K gas; T. Yu,  M. W. Wu;  We report the anomalous Dyakonov-Perel' spin relaxation in ultracold spin-orbit coupled $^{40}$K gas when the coupling between $|9/2,9/2\ >$ and $|9/2,7/2\ >$ states (atcing as the effective Zeeman magnetic field) is much stronger than the spin-orbit coupled field. Both the transverse and longitudinal spin relaxations are investigated with small and large spin polarizations. It is found that with small spin polarization, the transverse (longitudinal) spin relaxation is divided into four (two) regimes: the normal weak scattering regime, the anomalous Dyakonov-Perel'-like regime, the anomalous Elliott-Yafet-like regime and the normal strong scattering regime (the anomalous Elliott-Yafet-like regime and the normal strong scattering regime), with only the normal weak scattering regime being in the weak scattering limit. This is very different from the conventional situation under the weak magnetic field, which is divided into the weak and strong scattering regimes according to the weak/strong scattering limit. With large spin polarization, we find that the Hartree-Fock self-energy, which acts as an effective magnetic field, can markedly suppress the transverse spin relaxation in both weak and strong scattering limits. Moreover, by noting that as both the momentum relaxation time and the Hartree-Fock effective magnetic field vary with the scattering length in cold atoms, the anomalous Dyakonov-Perel'-like regime is suppressed and the transverse spin relaxation is hence divided into three regimes in the scattering length dependence: the normal weak scattering regime, the anomalous Elliott-Yafet-like regime and the strong scattering regime. On the other hand, the longitudinal spin relaxation is again divided into the anomalous EY-like and normal strong scattering regimes. ... ;"Quantum Gases (cond-mat.quant-gas); Mesoscale and Nanoscale Physics (cond-mat.mes-hall)"
