url;title;authors;abstract;subject
https://arxiv.org/abs/1002.0059;Nonuniform autonomous one-dimensional exclusion nearest-neighbor  reaction-diffusion models; Amir Aghamohammadi,  Mohammad Khorrami;  The most general nonuniform reaction-diffusion models on a one-dimensional lattice with boundaries, for which the time evolution equations of corre- lation functions are closed, are considered. A transfer matrix method is used to find the static solution. It is seen that this transfer matrix can be obtained in a closed form, if the reaction rates satisfy certain conditions. We call such models superautonomous. Possible static phase transitions of such models are investigated. At the end, as an example of superau- tonomous models, a nonuniform voter model is introduced, and solved explicitly. ;Statistical Mechanics (cond-mat.stat-mech)
https://arxiv.org/abs/1002.0069;Anharmonic oscillation effect on the Davydov-Scott monomer in thermal  bath; A. Sulaiman,  F.P. Zen,  H. Alatas,  L.T. Handoko;  The dynamics of Davydov-Scott monomer in a thermal bath with higher order amide-site's displacement leads to anharmonic oscillation effect is investigated using full-quantum approach and the Lindblad formulation of master equation. The specific heat is calculated based on the thermodynamic partition function using the path integral method. The temperature dependence of the specific heat is studied. In the model the specific heat anomaly as pointed out in recent works by Ingold et.al is also observed. However it is found that the anomaly occurs at high temperature region, and the anharmonic oscillation restores the positivity of specific heat. ;"Statistical Mechanics (cond-mat.stat-mech); High Energy Physics - Phenomenology (hep-ph); Quantum Physics (quant-ph)"
https://arxiv.org/abs/1002.0166;Jammed state characterization of the random sequential adsorption of  segments of two lengths on a line; N. A. M. Araujo,  A. Cadilhe;  We characterize the jammed state structure of the random sequential adsorption of segments of two different sizes on a line. To this end, we define the size ratio as a dimensionless quantity measuring the length of the large segments in terms of the smaller ones. We introduce a truncated exponential as an {\it ansatz} for the probability distribution function of the interparticle distance at the jammed state and use it to reckon the first four cumulants of the probability distribution function. The sole free parameter present in the various analytical expressions is tied to the mean interparticle distance from Monte Carlo simulations, while the remaining three cumulants are computed without any free parameter and compared to Monte Carlo results. We find that the proposed {\it ansatz} provides results in good qualitative agreement with Monte Carlo ones. ;Statistical Mechanics (cond-mat.stat-mech)
https://arxiv.org/abs/1002.0191;The isotropic-to-nematic transition in confined liquid crystals : an  essentially non-universal phenomenon; J.M. Fish,  R.L.C. Vink;  Computer simulations are presented of the isotropic-to-nematic transition in a liquid crystal confined between two parallel plates a distance H apart. The plates are neutral and do not impose any anchoring on the particles. Depending on the shape of the pair potential acting between the particles, we find that the transition either changes from first-order to continuous at a critical film thickness H=Hx, or that the transition remains first-order irrespective of H. This demonstrates that the isotropic-to-nematic transition in confined geometry is not characterized by any universality class, but rather that its fate is determined by microscopic details. The resulting capillary phase diagrams can thus assume two topologies: one where the isotropic and nematic branches of the binodal meet at H=Hx, and one where they remain separated. For values of H where the transition is strongly first-order the shift DT of the transition temperature is in excellent agreement with the Kelvin equation. Not only is the relation DT~1/H recovered but also the prefactor of the shift is in quantitative agreement with the independently measured bulk latent heat and interfacial tension. ;Statistical Mechanics (cond-mat.stat-mech)
https://arxiv.org/abs/1002.0203;Stochastic Weighted Fractal Networks; Timoteo Carletti;  In this paper we introduce new models of complex weighted networks sharing several properties with fractal sets: the deterministic non-homogeneous weighted fractal networks and the stochastic weighted fractal networks. Networks of both classes can be completely analytically characterized in terms of the involved parameters. The proposed algorithms improve and extend the framework of weighted fractal networks recently proposed in (T. Carletti & S. Righi, in press Physica A, 2010) ;"Statistical Mechanics (cond-mat.stat-mech); Physics and Society (physics.soc-ph)"
https://arxiv.org/abs/1002.0250;A phase-field-crystal approach to critical nuclei; Rainer Backofen,  Axel Voigt;  We investigate a phase-field-crystal model for homogeneous nucleation. Instead of solving the time evolution of a density field towards equilibrium we use a String Method to identify saddle points in phase space. The saddle points allow to obtain the nucleation barrier and the critical nucleus. The advantage of using the phase-field-crystal model for this task is its ability to resolve atomistic effects. The obtained results indicate different properties of the critical nucleus compared with bulk crystals and show a detailed description of the nucleation process. ;"Statistical Mechanics (cond-mat.stat-mech); Materials Science (cond-mat.mtrl-sci)"
https://arxiv.org/abs/1002.0273;Asymmetric Exclusion Process in a System of Interacting Brownian  Particles; Jose Eduardo de Oliveira Rodrigues,  Ronald Dickman;"  We study a continuous-space version of the totally asymmetric simple exclusion process (TASEP), consisting of interacting Brownian particles subject to a driving force in a periodic external potential. Particles are inserted at the leftmost site at rate $\alpha$, hop to the right at unit rate, and are removed at the rightmost site at rate $\beta$. Our study is motivated by recent experiments on colloidal particles in optical tweezer arrays. The external potential is of the form generated by such an array. Particles spend most of the time near potential minima, approximating the situation in the lattice gas; a short-range repulsive interaction prevents two particles from occupying the same potential well. A constant driving force, representing Stokes drag on particles suspended in a moving fluid, leads to biased motion. Our results for the density profile and current, obtained via numerical integration of the Langevin equation and dynamic Monte Carlo simulations, indicate that the continuous-space model exhibits phase transitions analogous to those observed in the lattice model. The correspondence is not exact, however, due to the lack of particle-hole symmetry in our model. ";"Statistical Mechanics (cond-mat.stat-mech); Soft Condensed Matter (cond-mat.soft)"
https://arxiv.org/abs/1002.0327;Multiphase theory of Lennard-Jones nanofluids and the vaporization and  condensation of nanodroplets; Fredrick Michael;  Recently there has been growing interest in nanofluids and nanodroplet engineering and applications. In this paper we derive a theory of Lennard-Jones fluids in multiphase dynamics from the information theoretic approach in analogy to the fully quantum mechanical theory of phase transitions. We derive least biased distributions of the particles and some analytic solutions are obtained. ;Statistical Mechanics (cond-mat.stat-mech)
https://arxiv.org/abs/1002.0392;A novel and precise time domain description of MOSFET low frequency  noise due to random telegraph signals; Roberto da Silva,  Gilson Wirth,  Lucas Brusamarello;  Nowadays, random telegraph signals play an important role in integrated circuit performance variability, leading for instance to failures in memory circuits. This problem is related to the successive captures and emissions of electrons at the many traps stochastically distributed at the silicon-oxide (Si-SiO2) interface of MOS transistors. In this paper we propose a novel analytical and numerical approach to statistically describe the fluctuations of current due to random telegraph signal in time domain. Our results include two distinct situations: when the density of interface trap density is uniform in energy, and when it is an u-shape curve as prescribed in literature, here described as simple quadratic function. We establish formulas for relative error as function of the parameters related to capture and emission probabilities. For a complete analysis experimental u-shape curves are used and compared with the theoretical aproach. ;Statistical Mechanics (cond-mat.stat-mech)
https://arxiv.org/abs/1002.0494;Accurate estimate of the critical exponent $ν$ for self-avoiding walks  via a fast implementation of the pivot algorithm; Nathan Clisby;"  We introduce a fast implementation of the pivot algorithm for self-avoiding walks, which we use to obtain large samples of walks on the cubic lattice of up to $33 \times 10^6$ steps. Consequently the critical exponent $\nu$ for three-dimensional self-avoiding walks is determined to great accuracy; the final estimate is $\nu=0.587597(7)$. The method can be adapted to other models of polymers with short-range interactions, on the lattice or in the continuum. ";"Statistical Mechanics (cond-mat.stat-mech); Mathematical Physics (math-ph); Chemical Physics (physics.chem-ph)"
