url;title;authors;abstract;subject
https://arxiv.org/abs/1602.00036;On the Automorphism Groups of the Z2Z4-Linear 1-Perfect and  Preparata-Like Codes; Denis Krotov (Sobolev Institute of Mathematics, Novosibirsk, Russia);  We consider the symmetry group of a $Z_2Z_4$-linear code with parameters of a $1$-perfect, extended $1$-perfect, or Preparata-like code. We show that, provided the code length is greater than $16$, this group consists only of symmetries that preserve the $Z_2Z_4$ structure. We find the orders of the symmetry groups of the $Z_2Z_4$-linear (extended) $1$-perfect codes. Keywords: additive codes, $Z_2Z_4$-linear codes, $1$-perfect codes, Preparata-like codes, automorphism group, symmetry group. ;"Information Theory (cs.IT); Discrete Mathematics (cs.DM); Combinatorics (math.CO)"
https://arxiv.org/abs/1602.00043;On the Symmetries and the Capacity Achieving Input Covariance Matrices  of Multiantenna Channels; Mario Diaz;  In this paper we study the capacity achieving input covariance matrices of a single user multiantenna channel based solely on the group of symmetries of its matrix of propagation coefficients. Our main result, which unifies and improves the techniques used in a variety of classical capacity theorems, uses the Haar (uniform) measure on the group of symmetries to establish the existence of a capacity achieving input covariance matrix in a very particular subset of the covariance matrices. This result allows us to provide simple proofs for old and new capacity theorems. Among other results, we show that for channels with two or more standard symmetries, the isotropic input is optimal. Overall, this paper provides a precise explanation of why the capacity achieving input covariance matrices of a channel depend more on the symmetries of the matrix of propagation coefficients than any other distributional assumption. ;Information Theory (cs.IT)
https://arxiv.org/abs/1602.00057;Separation of Signals Consisting of Amplitude and Instantaneous  Frequency RRC Pulses Using SNR Uniform Training; Mohammad Bari,  Milos Doroslovacki;  This work presents sample mean and sample variance based features that distinguish continuous phase FSK from QAM and PSK modulations. Root raised cosine pulses are used for signal generation. Support vector machines are employed for signals separation. They are trained for only one value of SNR and used to classify the signals from a wide range of SNR. A priori information about carrier amplitude, carrier phase, carrier offset, roll-off factor and initial symbol phase is relaxed. Effectiveness of the method is tested by observing the joint effects of AWGN, carrier offset, lack of symbol and sampling synchronization, and fast fading. ;Information Theory (cs.IT)
https://arxiv.org/abs/1602.00095;Walsh Sampling with Incomplete Noisy Signals; Yi Lu;  With the advent of massive data outputs at a regular rate, admittedly, signal processing technology plays an increasingly key role. Nowadays, signals are not merely restricted to physical sources, they have been extended to digital sources as well. Under the general assumption of discrete statistical signal sources, we propose a practical problem of sampling incomplete noisy signals for which we do not know a priori and the sample size is bounded. We approach this sampling problem by Shannon's channel coding theorem. Our main results demonstrate that it is the large Walsh coefficient(s) that characterize(s) discrete statistical signals, regardless of the signal sources. By the connection of Shannon's theorem, we establish the necessary and sufficient condition for our generic sampling problem for the first time. Our generic sampling results find practical and powerful applications in not only cryptanalysis, but software system performance optimization. ;Information Theory (cs.IT)
https://arxiv.org/abs/1602.00132;Source and Physical-Layer Network Coding for Correlated Two-Way Relaying; Qiang Huo,  Lingyang Song,  Yonghui Li,  Bingli Jiao;  In this paper, we study a half-duplex two-way relay channel (TWRC) with correlated sources exchanging bidirectional information. In the case, when both sources have the knowledge of correlation statistics, a source compression with physical-layer network coding (SCPNC) scheme is proposed to perform the distributed compression at each source node. When only the relay has the knowledge of correlation statistics, we propose a relay compression with physical-layer network coding (RCPNC) scheme to compress the bidirectional messages at the relay. The closed-form block error rate (BLER) expressions of both schemes are derived and verified through simulations. It is shown that the proposed schemes achieve considerable improvements in both error performance and throughput compared with the conventional non-compression scheme in correlated two-way relay networks (CTWRNs). ;Information Theory (cs.IT)
https://arxiv.org/abs/1602.00139;One generator quasi-cyclic codes over F2 + uF2 + vF2 + uvF2; Srinivasulu B,  Maheshanand Bhaintwal;  In this paper, we study the structure of 1-generator quasi-cyclic codes over the ring R = F2 + uF2 + vF2 + uvF2, with u2 = v2 = 0 and uv = vu. We determine the minimal spanning sets for these codes. As a generalization of these codes, we also investigate the structure of 1-generator generalized quasi-cyclic codes over R and determine a BCH type bound for them. ;Information Theory (cs.IT)
https://arxiv.org/abs/1602.00145;Throughput Analysis and Optimization of Wireless-Powered Multiple  Antenna Full-Duplex Relay Systems; Mohammadali Mohammadi,  Batu K. Chalise,  Himal A. Suraweera,  Caijun Zhong,  Gan Zheng,  Ioannis Krikidis;  We consider a full-duplex (FD) decode-and-forward system in which the time-switching protocol is employed by the multi-antenna relay to receive energy from the source and transmit information to the destination. The instantaneous throughput is maximized by optimizing receive and transmit beamformers at the relay and the time-split parameter. We study both optimum and suboptimum schemes. The reformulated problem in the optimum scheme achieves closed-form solutions in terms of transmit beamformer for some scenarios. In other scenarios, the optimization problem is formulated as a semi-definite relaxation problem and a rank-one optimum solution is always guaranteed. In the suboptimum schemes, the beamformers are obtained using maximum ratio combining, zero-forcing, and maximum ratio transmission. When beamformers have closed-form solutions, the achievable instantaneous and delay-constrained throughput are analytically characterized. Our results reveal that, beamforming increases both the energy harvesting and loop interference suppression capabilities at the FD relay. Moreover, simulation results demonstrate that the choice of the linear processing scheme as well as the time-split plays a critical role in determining the FD gains. ;Information Theory (cs.IT)
https://arxiv.org/abs/1602.00169;A Linearithmic Time Algorithm for a Shortest Vector Problem in  Compute-and-Forward Design; Jinming Wen,  Xiao-Wen Chang;  We propose an algorithm with expected complexity of $\bigO(n\log n)$ arithmetic operations to solve a special shortest vector problem arising in computer-and-forward design, where $n$ is the dimension of the channel vector. This algorithm is more efficient than the best known algorithms with proved complexity. ;Information Theory (cs.IT)
https://arxiv.org/abs/1602.00173;Wireless Caching: Technical Misconceptions and Business Barriers; Georgios Paschos,  Ejder Baştuğ,  Ingmar Land,  Giuseppe Caire,  Mérouane Debbah;  Caching is a hot research topic and poised to develop into a key technology for the upcoming 5G wireless networks. The successful implementation of caching techniques however, crucially depends on joint research developments in different scientific domains such as networking, information theory, machine learning, and wireless communications. Moreover, there exist business barriers related to the complex interactions between the involved stakeholders, the users, the cellular operators, and the Internet content providers. In this article we discuss several technical misconceptions with the aim to uncover enabling research directions for caching in wireless systems. Ultimately we make a speculative stakeholder analysis for wireless caching in 5G. ;"Information Theory (cs.IT); Networking and Internet Architecture (cs.NI)"
https://arxiv.org/abs/1602.00225;Transmitter Optimization in Slow Fading MISO Wiretap Channel; Sanjay Vishwakarma,  A. Chockalingam;  In this paper, we consider the transmitter optimization problem in slow fading multiple-input-single-output (MISO) wiretap channel. The source transmits a secret message intended for $K$ users in the presence of $J$ non-colluding eavesdroppers, and operates under a total power constraint. The channels between the source and all users and eavesdroppers are assumed to be slow fading, and only statistical channel state information (CSI) is known at the source. For a given code rate and secrecy rate pair of the wiretap code, denoted by $(R_{D}, R_{s})$, we define the non-outage event as the joint event of the link information rates to $K$ users be greater than or equal to $R_{D}$ and the link information rates to $J$ eavesdroppers be less than or equal to $(R_{D} - R_{s})$. We minimize the transmit power subject to the total power constraint and satisfying the probability of the non-outage event to be greater than or equal to a desired threshold $(1-\epsilon)$. ;Information Theory (cs.IT)
https://arxiv.org/abs/1602.00276;The Capacity of Online (Causal) $q$-ary Error-Erasure Channels; Zitan Chen,  Sidharth Jaggi,  Michael Langberg;"  In the $q$-ary online (or ""causal"") channel coding model, a sender wishes to communicate a message to a receiver by transmitting a codeword $\mathbf{x} =(x_1,\ldots,x_n) \in \{0,1,\ldots,q-1\}^n$ symbol by symbol via a channel limited to at most $pn$ errors and/or $p^{*} n$ erasures. The channel is ""online"" in the sense that at the $i$th step of communication the channel decides whether to corrupt the $i$th symbol or not based on its view so far, i.e., its decision depends only on the transmitted symbols $(x_1,\ldots,x_i)$. This is in contrast to the classical adversarial channel in which the corruption is chosen by a channel that has a full knowledge on the sent codeword $\mathbf{x}$. In this work we study the capacity of $q$-ary online channels for a combined corruption model, in which the channel may impose at most $pn$ {\em errors} and at most $p^{*} n$ {\em erasures} on the transmitted codeword. The online channel (in both the error and erasure case) has seen a number of recent studies which present both upper and lower bounds on its capacity. In this work, we give a full characterization of the capacity as a function of $q,p$, and $p^{*}$. ";Information Theory (cs.IT)
https://arxiv.org/abs/1602.00339;Distributed Multi-Relay Selection in Accumulate-then-Forward Energy  Harvesting Relay Networks; Yifan Gu,  He Chen,  Yonghui Li,  Branka Vucetic;  This paper investigates a wireless-powered cooperative network (WPCN) consisting of one source-destination pair and multiple decode-and-forward (DF) relays. We develop an energy threshold based multi-relay selection (ETMRS) scheme for the considered WPCN. The proposed ETMRS scheme can be implemented in a fully distributed manner as the relays only need local information to switch between energy harvesting and information forwarding modes. By modeling the charging/discharging behaviours of the finite-capacity battery at each relay as a finite-state Markov Chain (MC), we derive an analytical expression for the system outage probability of the proposed ETMRS scheme over mixed Nakagami-$m$ and Rayleigh fading channels. Based on the derived expression, the optimal energy thresholds for all the relays corresponding to the minimum system outage probability can be obtained via an exhaustive search. However, this approach becomes computationally prohibitive when the number of relays and the associated number of battery energy levels is large. To resolve this issue, we propose a heuristic approach to optimize the energy threshold for each relay. To gain some useful insights for practical relay design, we also derive the upper bound for system outage probability corresponding to the case that all relays are equipped with infinite-capacity batteries. Numerical results validate our theoretical analysis. It is shown that the proposed heuristic approach can achieve a near-optimal system performance and our ETMRS scheme outperforms the existing single-relay selection scheme and common energy threshold scheme. ;Information Theory (cs.IT)
https://arxiv.org/abs/1602.00366;Multi-Channel MAC Protocol for Full-Duplex Cognitive Radio Networks with  Optimized Access Control and Load Balancing; Tan Le Thanh,  Long Bao Le;  In this paper, we propose a multi-channel full-duplex Medium Access Control (MAC) protocol for cognitive radio networks (MFDC-MAC). Our design exploits the fact that full-duplex (FD) secondary users (SUs) can perform spectrum sensing and access simultaneously, and we employ the randomized dynamic channel selection for load balancing among channels and the standard backoff mechanism for contention resolution on each available channel. Then, we develop a mathematical model to analyze the throughput performance of the proposed MFDC-MAC protocol. Furthermore, we study the protocol configuration optimization to maximize the network throughput where we show that this optimization can be performed in two steps, namely optimization of access and transmission parameters on each channel and optimization of channel selection probabilities of the users. Such optimization aims at achieving efficient self-interference management for FD transceivers, sensing overhead control, and load balancing among the channels. Numerical results demonstrate the impacts of different protocol parameters and the importance of parameter optimization on the throughput performance as well as the significant performance gain of the proposed design compared to traditional design. ;"Information Theory (cs.IT); Distributed, Parallel, and Cluster Computing (cs.DC); Networking and Internet Architecture (cs.NI); Statistics Theory (math.ST); Applications (stat.AP)"
