url;title;authors;abstract;subject
https://arxiv.org/abs/1111.0170;Book review: Stability of Matter in Quantum Mechanics, by Elliott H.  Lieb and Robert Seiringer; Jan Philip Solovej;  Review of Stability of Matter in Quantum Mechanics, by Elliott H. Lieb and Robert Seiringer, Cambridge University Press, Cambridge, 2010, xv+293 pp, ISBN 978-0-521-19118-0. ;Mathematical Physics (math-ph)
https://arxiv.org/abs/1111.0280;Generating Functionals and Lagrangian PDEs; Joris Vankerschaver,  Cuicui Liao,  Melvin Leok;  We introduce the concept of Type-I/II generating functionals defined on the space of boundary data of a Lagrangian field theory. On the Lagrangian side, we define an analogue of Jacobi's solution to the Hamilton-Jacobi equation for field theories, and we show that by taking variational derivatives of this functional, we obtain an isotropic submanifold of the space of Cauchy data, described by the so-called multisymplectic form formula. We also define a Hamiltonian analogue of Jacobi's solution, and we show that this functional is a Type-II generating functional. We finish the paper by defining a similar framework of generating functions for discrete field theories, and we show that for the linear wave equation, we recover the multisymplectic conservation law of Bridges. ;Mathematical Physics (math-ph)
https://arxiv.org/abs/1111.0392;On Distribution of Zeros of Some Quazipolynoms; H. I. Ahmadov;  In this paper we investigate distribution of zeros for only quasipolynom and obtain exactly lower-bound for their modulus. ;Mathematical Physics (math-ph)
https://arxiv.org/abs/1111.0490;Data Set Models and Exponential Families in Statistical Physics and  Beyond; Jan Naudts,  Ben Anthonis;  The exponential family of models is defined in a general setting, not relying on probability theory. Some results of information geometry are shown to remain valid. Exponential families both of classical and of quantum mechanical statistical physics fit into the new formalism. Other less obvious applications are predicted. For instance, quantum states can be modeled as points in a classical phase space and the resulting model belongs to the exponential family. ;Mathematical Physics (math-ph)
https://arxiv.org/abs/1111.0598;Exact solutions for the 2d one component plasma; Timothy D. Andersen;  The 2d one component gas of pointlike charges in a uniform neutralizing background interacting with a logarithmic potential is a common model for plasmas. In its classical equilibrium statistics at fixed temperature (canonical ensemble) it is formally related to certain types of random matrices with Gaussian distribution and complex eigenvalues. In this paper, I present an exact integration of this ensemble for $N$ such particles (or alternatively $N\times N$ matrices) for all even non-negative temperatures, a significant open problem in statistical physics for several decades. I achieve this exact integration via an exact integration of a related ensemble, the two-dimensional Selberg integral. ;Mathematical Physics (math-ph)
https://arxiv.org/abs/1111.0643;Spectral determinants and zeta functions of Schrödinger operators on  metric graphs; J. M. Harrison,  K. Kirsten,  C. Texier;"  A derivation of the spectral determinant of the Schr\""odinger operator on a metric graph is presented where the local matching conditions at the vertices are of the general form classified according to the scheme of Kostrykin and Schrader. To formulate the spectral determinant we first derive the spectral zeta function of the Schr\""odinger operator using an appropriate secular equation. The result obtained for the spectral determinant is along the lines of the recent conjecture. ";"Mathematical Physics (math-ph); High Energy Physics - Theory (hep-th)"
https://arxiv.org/abs/1111.0656;Algebraic spectral gaps; Amaury Mouchet (LMPT);"  For the one-dimensional Schr\""odinger equation, some real intervals with no eigenvalues (the spectral gaps) may be obtained rather systematically with a method proposed by H. Giacomini and A. Mouchet in 2007. The present article provides some alternative formulation of this method, suggests some possible generalizations and extensively discusses the higher-dimensional case. ";"Mathematical Physics (math-ph); Spectral Theory (math.SP); Quantum Physics (quant-ph)"
https://arxiv.org/abs/1111.0659;Exact solution to the 1d one component Coulomb gas at fixed energy; Timothy D. Andersen;  The one dimensional one component plasma has applications to one dimensional particle systems with logarithmic interactions such as charges in a single channel wire or vortex filaments in a fluid convection stream. The exact integral of this plasma in the canonical ensemble with a gaussian confining potential has already been computed. In this paper, I compute the exact volume of the phase space of the plasma of N particles at fixed energy without a confining potential using a microcanonical ensemble and show that, as in the two-dimensional case, it has negative temperature states, suggesting that one dimensional turbulence can occur from vortex/electron clustering. ;Mathematical Physics (math-ph)
https://arxiv.org/abs/1111.0726;Integrable magnetic geodesic flows on Lie groups; Alexey A. Magazev,  Igor V. Shirokov,  Yuriy Y. Yurevich;  Right-invariant geodesic flows on manifolds of Lie groups associated with 2-cocycles of corresponding Lie algebras are discussed. Algebra of integrals of motion for magnetic geodesic flows is considered and necessary and sufficient condition of integrability in quadratures is formulated. Canonic forms for 2-cocycles of all 4-dimensional Lie algebras are given and integrable cases among them are separated. ;Mathematical Physics (math-ph)
https://arxiv.org/abs/1111.0751;Continuous Limits of Classical Repeated Interaction Systems; Julien Deschamps;"  We consider the physical model of a classical mechanical system (called ""small system"") undergoing repeated interactions with a chain of identical small pieces (called ""environment""). This physical setup constitutes an advantageous way of implementing dissipation for classical systems, it is at the same time Hamiltonian and Markovian. This kind of model has already been studied in the context of quantum mechanical systems, where it was shown to give rise to quantum Langevin equations in the limit of continuous time interactions ([2]), but it has never been considered for classical mechanical systems yet. The aim of this article is to compute the continuous limit of repeated interactions for classical systems and to prove that they give rise to particular stochastic differential equations in the limit. In particular we recover the usual Langevin equations associated to the action of heat baths. In order to obtain these results, we consider the discrete-time dynamical system induced by Hamilton's equations and the repeated interactions. We embed it into a continuous-time dynamical system and we compute the limit when the time step goes to 0. This way we obtain a discrete-time approximation of stochastic differential equation, considered as a deterministic dynamical system on the Wiener space, which is not exactly of the usual Euler scheme type. We prove the Lp and almost sure convergence of this scheme. We end up with applications to concrete physical exemples such as a charged particule in an uniform electric field or a harmonic interaction. We obtain the usual Langevin equation for the action of a heat bath when considering a damped harmonic oscillator as the small system. ";"Mathematical Physics (math-ph); Probability (math.PR)"
https://arxiv.org/abs/1111.0757;Angular momentum decomposition of the three-dimensional Wigner harmonic  oscillator; Gilles Regniers,  Joris Van der Jeugt;  In the Wigner framework, one abandons the assumption that the usual canonical commutation relations are necessarily valid. Instead, the compatibility of Hamilton's equations and the Heisenberg equations are the starting point, and no further assumptions are made about how the position and momentum operators commute. Wigner quantization leads to new classes of solutions, and representations of Lie superalgebras are needed to describe them. For the n-dimensional Wigner harmonic oscillator, solutions are known in terms of the Lie superalgebras osp(1|2n) and gl(1|n). For n=3N, the question arises as to how the angular momentum decomposition of representations of these Lie superalgebras is computed. We construct generating functions for the angular momentum decomposition of specific series of representations of osp(1|6N) and gl(1|3N), with N=1 and N=2. This problem can be completely solved for N=1. However, for N=2 only some classes of representations allow executable computations ;"Mathematical Physics (math-ph); Quantum Physics (quant-ph)"
