url;title;authors;abstract;subject
https://arxiv.org/abs/1612.00154;Representable Chow classes of a product of projective spaces; Federico Castillo,  Binglin Li,  Naizhen Zhang;  Inside a product of projective spaces, we try to understand which Chow classes come from irreducible subvarieties. The answer is closely related to the theory of integer polymatroids. The support of a representable class can be (partially) characterized as some integer point inside a particular polymatroid. If the class is multiplicity-free, we obtain a complete characterization in terms of representable polymatroids. We also generalize some of the results to the case of products of Grassmannians. ;"Algebraic Geometry (math.AG); Combinatorics (math.CO)"
https://arxiv.org/abs/1612.00184;Remarks on Kawamata's effective non-vanishing conjecture for manifolds  with trivial first Chern classes; Yalong Cao,  Chen Jiang;"  Kawamata proposed a conjecture predicting that every nef and big line bundle on a smooth projective variety with trivial first Chern class has nontrivial global sections. We verify this conjecture for several cases, including (i) all hyperk\""{a}hler varieties of dimension $\leq 6$; (ii) all known hyperk\""{a}hler varieties except for O'Grady's 10-dimensional example; (iii) general complete intersection Calabi-Yau varieties in certain Fano manifolds (e.g. toric ones). Moreover, we investigate the effectivity of Todd classes of hyperk\""{a}hler varieties and Calabi-Yau varieties. We prove that the fourth Todd classes are ""fakely effective"" for all hyperk\""{a}hler varieties and general complete intersection Calabi-Yau varieties in products of projective spaces. ";Algebraic Geometry (math.AG)
https://arxiv.org/abs/1612.00191;Infinite algebraic subgroups of the real Cremona group; Maria Fernanda Robayo,  Susanna Zimmermann;  We give the classification of the maximal infinite algebraic subgroups of the real Cremona group of the plane up to conjugacy and present a parametrisation space of each conjugacy class. Moreover, we show that the real plane Cremona group is not generated by a countable union of its infinite algebraic subgroups. ;Algebraic Geometry (math.AG)
https://arxiv.org/abs/1612.00208;$F$-divided sheaves trivialized by dominant maps are essentially finite; Fabio Tonini,  Lei Zhang;  By a result of Biswas and Dos Santos, on a smooth and projective variety over an algebraically closed field, a vector bundle trivialized by a proper and surjective map is essentially finite, that is it corresponds to a representation of the Nori fundamental group scheme. In this paper we obtain similar results for non-proper non-smooth algebraic stacks over arbitrary fields of characteristic $p>0$. As by-product we have the following partial generalization of the Biswas-Dos Santos' result in positive characteristic: on a pseudo-proper and inflexible stack of finite type over $k$ a vector bundle which is trivialized by a proper and flat map is essentially finite. ;"Algebraic Geometry (math.AG); Number Theory (math.NT)"
https://arxiv.org/abs/1612.00372;The inertia operator on the motivic Hall algebra; Kai Behrend,  Pooya Ronagh;  We study the action of the inertia operator on the motivic Hall algebra, and prove that it is diagonalizable. This leads to a filtration of the Hall algebra, whose associated graded algebra is commutative. In particular, the degree 1 subspace forms a Lie algebra, which we call the Lie algebra of virtually indecomposable elements, following Joyce. We prove that the integral of virtually indecomposable elements admits an Euler characteristic specialization. In order to take advantage of the fact that our inertia groups are unit groups in algebras, we introduce the notion of algebroid. ;"Algebraic Geometry (math.AG); Quantum Algebra (math.QA)"
https://arxiv.org/abs/1612.00556;The Eigenvalue Spectrum of the Inertia Operator; Kai Behrend,  Pooya Ronagh;  We view the inertia construction of algebraic stacks as an operator on the Grothendieck groups of various categories of algebraic stacks. We show that the inertia operator is locally finite and diagonalizable. This is proved for the Grothendieck group of Deligne-Mumford stacks over a base scheme and the category of quasi-split Artin stacks defined over a field of characteristic zero. Motivated by the quasi-splitness condition, in [2] we consider the inertia operator of the Hall algebra of algebroids, and applications of it in generalized Donaldson-Thomas theory. ;Algebraic Geometry (math.AG)
https://arxiv.org/abs/1612.00586;Some remarks on log surfaces; Haidong Liu;  Fujino and Tanaka established the minimal model theory for $\mathbb Q$-factorial log surfaces in characteristic $0$ and $p$, respectively. We prove that every intermediate surface has only log terminal singularities if we run the minimal model program starting with a pair consisting of a smooth surface and a boundary $\mathbb R$-divisor. We further show that such a property does not hold if the initial surface is singular. ;Algebraic Geometry (math.AG)
https://arxiv.org/abs/1612.00652;Gromov--Witten theory of $[\bC^2/\bZ_{n+1}]\times \bP^1$; Zijun Zhou,  Zhengyu Zong;  We compute the relative orbifold Gromov--Witten invariants of $[\bC^2/\bZ_{n+1}]\times \bP^1$, with respect to vertical fibers. Via a vanishing property of the Hurwitz--Hodge bundle, 2-point rubber invariants are calculated explicitly using Pixton's formula for the double ramification cycle, and the orbifold quantum Riemann--Roch. As a result parallel to its crepant resolution counterpart for $\cA_n$, the GW/DT/Hilb/Sym correspondence is established for $[\bC^2/\bZ_{n+1}]$. The computation also implies the crepant resolution conjecture for relative orbifold Gromov--Witten theory of $[\bC^2/\bZ_{n+1}]\times \bP^1$. ;Algebraic Geometry (math.AG)
https://arxiv.org/abs/1612.00678;A Stronger Local Monomialization Theorem; Steven Dale Cutkosky;  We derive extensions of the monomialization theorems for morphisms of varieties in our earlier work. In this note we show that a local monomialization can be found which satisfies stronger local conditions. Some comments are made about how the results of this paper can be used. ;Algebraic Geometry (math.AG)
https://arxiv.org/abs/1612.00748;A specialization property of index; Ananyo Dan,  Inder Kaur;  In this article we study certain specialization properties of the index of varieties defined by Koll\'{a}r. ;Algebraic Geometry (math.AG)
https://arxiv.org/abs/1612.00754;Semi-regular varieties and variational Hodge conjecture; Ananyo Dan,  Inder Kaur;  We know that semi-regular sub-varieties satisfy the variational Hodge conjecture i.e., given a family of smooth projective varieties $\pi:\mathcal{X} \to B$, a special fiber $\mathcal{X}_o$ and a semi-regular subvariety $Z \subset \mathcal{X}_o$, the cohomology class corresponding to $Z$ remains a Hodge class (as $\mathcal{X}_o$ deforms along $B$) if and only if $Z$ remains an algebraic cycle. In this article, we investigate examples of such sub-varieties. In particular, we prove that any smooth projective variety $Z$ of dimension $n$ is a semi-regular sub-variety of a smooth projective hypersurface in $\mathbb{P}^{2n+1}$ of large enough degree. ;Algebraic Geometry (math.AG)
https://arxiv.org/abs/1612.00756;A note on the determinant map; Ananyo Dan,  Inder Kaur;  Classically, there exists a determinant map from the moduli space of semi-stable sheaves on a smooth, projective variety to the Picard scheme. Unfortunately, if the underlying variety is singular, then such a map does not exist. In the case the underlying variety is a nodal curve, a similar map was produced by Bhosle on a stratification of the moduli space of semi-stable sheaves. In this note, we generalize this result to the higher dimension case. ;Algebraic Geometry (math.AG)
https://arxiv.org/abs/1612.00792;Moduli of fibered surface pairs from twisted stable maps; Kenneth Ascher,  Dori Bejleri;  We use the theory of twisted stable maps to Deligne-Mumford stacks to construct compactifications of the moduli space of pairs $(X \to C, S + F)$ where $X \to C$ is a fibered surface, $S$ is a sum of sections, $F$ is a sum of marked fibers, and $(X, S + F)$ is a stable pair in the sense of the minimal model program. This generalizes the work of Abramovich-Vistoli, who compactified the moduli space of fibered surfaces without marked fibers. Furthermore, we compare our compactification to Alexeev's space of stable maps and the KSBA compactification of stable pairs. As an application, we describe the boundary of the compactification of the moduli space of elliptic surfaces. ;Algebraic Geometry (math.AG)
https://arxiv.org/abs/1612.00898;Asymptotic syzygies grow exponentially: a remark on a paper of  Ein-Lazarsfeld; Daniel Chun,  Ziv Ran;"  For all $2\leq q\leq \dim(X)$ and most relevant $p$ values, the dimension of the asymptotic Koszul cohomology group $K_{p,q}(X, B;L_d)$ grows exponentially with $d$. ";Algebraic Geometry (math.AG)
https://arxiv.org/abs/1612.01026;Syzygies of Prym and paracanonical curves of genus 8; Elisabetta Colombo,  Gavril Farkas,  Alessandro Verra,  Claire Voisin;  By analogy with Green's Conjecture on syzygies of canonical curves, the Prym-Green conjecture predicts that the resolution of a general level p paracanonical curve of genus g is natural. The Prym-Green Conjecture is known to hold in odd genus for almost all levels. Probabilistic arguments strongly suggested that the conjecture might fail for level 2 and genus 8 or 16. In this paper, we present three geometric proofs of the surprising failure of the Prym-Green Conjecture in genus 8, hoping that the methods introduced here will shed light on all the exceptions to the Prym-Green Conjecture for genera with high divisibility by 2. ;"Algebraic Geometry (math.AG); Commutative Algebra (math.AC)"
https://arxiv.org/abs/1612.01048;Rationality of capped descendent vertex in $K$-theory; Andrey Smirnov;  In this paper we analyze the fundamental solution of the \textit{quantum difference equation} (qde) for the moduli space of instantons on two-dimensional projective space. The qde is a $K$-theoretic generalization of the quantum differential equation in quantum cohomology. As in the quantum cohomology case, the fundamental solution of qde provides the capping operator in $K$-theory (the rubber part of the capped vertex). We study the dependence of the capping operator on the equivariant parameters $a_i$ of the torus acting on the instanton moduli space by changing the framing. We prove that the capping operator factorizes at $a_i\to 0$. The rationality of the $K$-theoretic 1-leg capped descendent vertex follows from factorization of the capping operator as a simple corollary. ;"Algebraic Geometry (math.AG); High Energy Physics - Theory (hep-th); Mathematical Physics (math-ph); Representation Theory (math.RT)"
https://arxiv.org/abs/1612.01077;Cyclic coverings of the projective line by Mumford curves in positive  characteristic; Ryota Mikami;  We study the rigid analytic geometry of cyclic coverings of the projective line. We determine the defining equation of a cyclic covering of degree $p$ of the projective line by a Mumford curve over a complete discrete valuation field of positive characteristic $p$. Previously, Bradley studied that of any degree over a non-archimedean local field of characteristic zero. ;Algebraic Geometry (math.AG)
https://arxiv.org/abs/1612.01098;Effective faithful tropicalizations associated to linear systems on  curves; Shu Kawaguchi,  Kazuhiko Yamaki;  For a connected smooth projective curve $X$ of genus $g$, global sections of any line bundle $L$ with $\deg(L) \geq 2g+ 1$ give an embedding of the curve into projective space. We consider an analogous statement for a Berkovich skeleton in nonarchimedean geometry, in which projective space is replaced by tropical projective space, and an embedding is replaced by a homeomorphism onto its image preserving integral structures (called a faithful tropicalization). Let $K$ be an algebraically closed field which is complete with respect to a non-trivial nonarchimedean value. Suppose that $X$ is defined over $K$ and has genus $g \geq 2$ and that $\Gamma$ is a skeleton (that is allowed to have ends) of the analytification $X^{\mathrm{an}}$ of $X$ in the sense of Berkovich. We show that if $\deg(L) \geq 3g-1$, then global sections of $L$ give a faithful tropicalization of $\Gamma$ into tropical projective space. As an application, when $Y$ is a suitable affine curve, we describe the analytification $Y^{\mathrm{an}}$ as the limit of tropicalizations of an effectively bounded degree. ;Algebraic Geometry (math.AG)
https://arxiv.org/abs/1612.01099;Effective faithful tropicalizations associated to adjoint linear systems; Shu Kawaguchi,  Kazuhiko Yamaki;  Let $R$ be a complete discrete valuation ring of equi-characteristic zero with fractional field $K$. Let $X$ be a connected, smooth projective variety of dimension $d$ over $K$, and let $L$ be an ample line bundle over $X$. We assume that there exist a regular strictly semistable model $\mathscr{X}$ of $X$ over $R$ and a relatively ample line bundle $\mathscr{L}$ over $\mathscr{X}$ with $\mathscr{L}|_{X} \cong L$. Let $S(\mathscr{X})$ be the skeleton associated to $\mathscr{X}$ in the Berkovich analytification $X^{\mathrm{an}}$ of $X$. In this article, we study when $S(\mathscr{X})$ is faithfully tropicalized into tropical projective space by the adjoint linear system $|L^{\otimes m} \otimes \omega_X|$. Roughly speaking, our results show that, if $m$ is an integer such that the adjoint bundle is basepoint free, then the adjoint linear system admits a faithful tropicalization of $S(\mathscr{X})$. ;Algebraic Geometry (math.AG)
https://arxiv.org/abs/1612.01129;Algebraic Identifiability of Gaussian Mixtures; Carlos Améndola,  Kristian Ranestad,  Bernd Sturmfels;  We prove that all moment varieties of univariate Gaussian mixtures have the expected dimension. Our approach rests on intersection theory and Terracini's classification of defective surfaces. The analogous identifiability result is shown to be false for mixtures of Gaussians in dimension three and higher. Their moments up to third order define projective varieties that are defective. Our geometric study suggests an extension of the Alexander-Hirschowitz Theorem for Veronese varieties to the Gaussian setting. ;"Algebraic Geometry (math.AG); Statistics Theory (math.ST)"
https://arxiv.org/abs/1612.01144;Flexible affine cones and flexible coverings; Matheusz Michałek,  Alexander Perepechko,  Hendrik Süß;  We provide a new criterion for flexibility of cones over varieties covered by flexible affine varieties. We apply this criterion to prove flexibility of affine cones over secant varieties of Segre--Veronese embeddings and over certain Fano threefolds. We further prove flexibility of total coordinate spaces of Cox rings of del Pezzo surfaces. ;Algebraic Geometry (math.AG)
