url;title;authors;abstract;subject
https://arxiv.org/abs/1412.0117;A diffusive logistic problem with a free boundary in time-periodic  environment: favorable habitat or unfavorable habitat; Qiaoling Chen,  Fengquan Li,  Feng Wang;"  We study the diffusive logistic equation with a free boundary in timeperiodic environment. To understand the effect of the dispersal rate $d$, the original habitat radius $h_0$, the spreading capability $\mu$, and the initial density $u_0$ on the dynamics of the problem, we divide the time-periodic habitat into two cases: favorable habitat and unfavorable habitat. By choosing $d$, $h_0$, $\mu$ and $u_0$ as variable parameters, we obtain a spreading-vanishing dichotomy and sharp criteria for the spreading and vanishing in time-periodic environment. We introduce the principal eigenvalue $\lambda_1(d, \alpha, \gamma, h(t), T)$ to determine the spreading and vanishing of the invasive species. We prove that if $\lambda_1(d, \alpha, \gamma, h_0, T)\leq 0$, the spreading must happen; while if $\lambda_1(d, \alpha, \gamma, h_0, T)> 0$, the spreading is also possible. Our results show that the species in the favorable habitat can establish itself if the dispersal rate is slow or the occupying habitat is large. In an unfavorable habitat, the species vanishes if the initial density of the species is small, while survive successfully if the initial value is big. Moreover, when spreading occurs, the asymptotic spreading speed of the free boundary is determined. ";Analysis of PDEs (math.AP)
https://arxiv.org/abs/1412.0146;Estimates for radial solutions of the homogeneous Landau equation with  Coulomb potential; Maria Gualdani,  Nestor Guillen;  Motivated by the question of existence of global solutions, we obtain pointwise upper bounds for radially symmetric and monotone solutions to the homogeneous Landau equation with Coulomb potential. The estimates say that blow up in the $L^\infty$-norm at a finite time $T$ can occur only if the $L^{3/2}$-norm of the solution concentrates for times close to $T$. The bounds are obtained using the comparison principle for the Landau equation and for the associated mass function. This method provides long-time existence results for the isotropic version of the Landau equation with Coulomb potential, recently introduced by Krieger and Strain. ;Analysis of PDEs (math.AP)
https://arxiv.org/abs/1412.0185;Sharp regularity properties for the non-cutoff spatially homogeneous  Boltzmann equation; Leo Glangetas (LMRS),  Hao-Guang Li,  Chao-Jiang Xu (LMRS);  In this work, we study the Cauchy problem for the spatially homogeneous non-cutoff Boltzamnn equation with Maxwellian molecules. We prove that this Cauchy problem enjoys Gelfand-Shilov regularizing effect, that means the smoothing properties is same as the Cauchy problem defined by the evolution equation associated to a fractional harmonic oscillator. The power of this fractional is exactly the singular index of non-cutoff collisional kernel of Boltzmann operator. So that we get the regularity of solution in the Gevery class with the sharp power and the optimal exponential decay of solutions. We also give a method to construct the solution of the nonlinear Boltzmann equation by solving an infinite ``triangular'' systems of ordinary differential equations.The key tools is the spectral decomposition of linear and non-linear Boltzmann operators. ;Analysis of PDEs (math.AP)
https://arxiv.org/abs/1412.0204;Stability of time-dependent Navier-Stokes flow and algebraic energy  decay; Toshiaki Hishida,  Maria Elena Schonbek;"  Let $V$ be a given time-dependent Navier-Stokes flow of an incompressible viscous fluid in the whole space ($n=3,4$). Assume such $V$ to be small in $L^\infty(0,\infty; L^{n,\infty})$, where $L^{n,\infty}$ denotes the weak-$L^n$ space. The energy stability of this basic flow $V$ with respect to any initial disturbance in $L^2_\sigma$ has been established by Karch, Pilarczyk and Schonbek. In this paper we study, under reasonable conditions, the algebraic rates of energy decay of disturbances as $t\to\infty$. ";Analysis of PDEs (math.AP)
https://arxiv.org/abs/1412.0219;Parabolic partial differential equations with discrete state-dependent  delay: classical solutions and solution manifold; Tibor Krisztin,  Alexander Rezounenko;  Classical solutions to PDEs with discrete state-dependent delay are studied. We prove the well-posedness in a set $X_F$ which is an analogous to the solution manifold used for ordinary differential equations with state-dependent delay. We prove that the evolution operators are $C^1$-smooth on the solution manifold. ;Analysis of PDEs (math.AP)
https://arxiv.org/abs/1412.0270;Fractional logarithmic Schrödinger equations; Pietro d'Avenia,  Marco Squassina,  Marianna Zenari;"  By means of non-smooth critical point theory we obtain existence of infinitely many weak solutions of the fractional Schr\""odinger equation with logarithmic nonlinearity. We also investigate the H\""older regularity of the weak solutions. ";Analysis of PDEs (math.AP)
https://arxiv.org/abs/1412.0275;Boundary regularity for the fractional heat equation; Xavier Fernández-Real,  Xavier Ros-Oton;  We study the regularity up to the boundary of solutions to fractional heat equation in bounded $C^{1,1}$ domains. More precisely, we consider solutions to $\partial_t u + (-\Delta)^s u=0 \textrm{ in }\Omega,\ t > 0$, with zero Dirichlet conditions in $\mathbb{R}^n\setminus \Omega$ and with initial data $u_0\in L^2(\Omega)$. Using the results of the second author and Serra for the elliptic problem, we show that for all $t>0$ we have $u(\cdot, t)\in C^s(\mathbb{R}^n)$ and $u(\cdot, t)/\delta^s \in C^{s-\epsilon}(\overline\Omega)$ for any $\epsilon > 0$ and $\delta(x) = \textrm{dist}(x,\partial\Omega)$. Our regularity results apply not only to the fractional Laplacian but also to more general integro-differential operators, namely those corresponding to stable L\'evy processes. As a consequence of our results, we show that solutions to the fractional heat equation satisfy a Pohozaev-type identity for positive times. ;Analysis of PDEs (math.AP)
https://arxiv.org/abs/1412.0304;The nonlinear Schrödinger equation with $t$-periodic data: I. Exact  results; J. Lenells,  A. S. Fokas;"  We consider the nonlinear Schr\""odinger equation on the half-line with a given Dirichlet (Neumann) boundary datum which for large $t$ tends to the periodic function $g_0^b(t)$ ($g_1^b(t)$). Assuming that the unknown Neumann (Dirichlet) boundary value tends for large $t$ to a periodic function $g_1^b(t)$ ($g_0^b(t)$), we derive an easily verifiable condition that the functions $g_0^b(t)$ and $g_1^b(t)$ must satisfy. Furthermore, we introduce two different methods, one based on the formulation of a Riemann-Hilbert problem, and one based on a perturbative approach, for constructing $g_1^b(t)$ ($g_0^b(t)$) in terms of $g_0^b(t)$ ($g_1^b(t)$). ";"Analysis of PDEs (math.AP); Exactly Solvable and Integrable Systems (nlin.SI)"
https://arxiv.org/abs/1412.0306;The nonlinear Schrödinger equation with $t$-periodic data: II.  Perturbative results; J. Lenells,  A. S. Fokas;"  We consider the nonlinear Schr\""odinger equation on the half-line with a given Dirichlet boundary datum which for large $t$ tends to a periodic function. We assume that this function is sufficiently small, namely that it can be expressed in the form $\alpha g_0^b(t)$, where $\alpha$ is a small constant. Assuming that the Neumann boundary value tends for large $t$ to the periodic function $g_1^b(t)$, we show that $g_1^b(t)$ can be expressed in terms of a perturbation series in $\alpha$ which can be constructed explicitly to any desired order. As an illustration, we compute $g_1^b(t)$ to order $\alpha^8$ for the particular case that $g_0^b(t)$ is the sum of two exponentials. We also show that there exist particular functions $g_0^b(t)$ for which the above series can be summed up, and therefore for these functions $g_1^b(t)$ can be obtained in closed form. The simplest such function is $\exp(i\omega t)$, where $\omega$ is a real constant. ";"Analysis of PDEs (math.AP); Exactly Solvable and Integrable Systems (nlin.SI)"
https://arxiv.org/abs/1412.0331;Regularity of viscous solutions for a degenerate nonlinear Cauchy  problem; Eric Hernandez Sastoque,  Juan C. Juajibioy,  Christian Klingenberg,  Leonardo RendÓn;  We consider the Cauchy problem for a class of nonlinear degenerate parabolic equa- tion with forcing. By using the vanishing viscosity method we obtain generalized solutions. We prove some regularity results about this generalized solutions. ;Analysis of PDEs (math.AP)
