url;title;authors;abstract;subject
https://arxiv.org/abs/1109.0001;Vertex unfoldings of tight polyhedra; Toshiki Endo,  Yuki Suzuki;  An unfolding of a polyhedron along its edges is called a vertex unfolding if adjacent faces are allowed to be connected at not only an edge but also a vertex. Demaine et al showed that every triangulated polyhedron has a vertex unfolding. We extend this result to a tight polyhedron, where a polyhedron is tight if all non-triangular faces are mutually non-adjacent parallelograms. ;"Combinatorics (math.CO); Computational Geometry (cs.CG)"
https://arxiv.org/abs/1109.0134;Plünnecke and Kneser type theorems for dimension estimates; Cédric Lecouvey (LMPT);"  Given a division ring K containing the field k in its center and A,B two finite subsets of K\{0}, we give some analogues of Pl\""unnecke and Kneser theorems for the dimension of the k-linear span of the Minkowski product AB in terms of the dimensions of the k-linear spans of A and B. These Pl\""unnecke type estimates are then generalized to the case of associative algebras. We also obtain an analogue in the context of division rings of a theorem by Tao classifying the sets of small doubling in a group. ";Combinatorics (math.CO)
https://arxiv.org/abs/1109.0191;Permutation Polytopes of Cyclic Groups; Barbara Baumeister,  Christian Haase,  Benjamin Nill,  Andreas Paffenholz;  We investigate the combinatorics and geometry of permutation polytopes associated to cyclic permutation groups, i.e., the convex hulls of cyclic groups of permutation matrices. We give formulas for their dimension and vertex degree. In the situation that the generator of the group consists of at most two orbits, we can give a complete combinatorial description of the associated permutation polytope. In the case of three orbits the facet structure is already quite complex. For a large class of examples we show that there exist exponentially many facets. ;"Combinatorics (math.CO); Group Theory (math.GR)"
https://arxiv.org/abs/1109.0303;Obstacles, Slopes, and Tic-Tac-Toe: An excursion in discrete geometry  and combinatorial game theory; V S Padmini Mukkamala;  A drawing of a graph is said to be a {\em straight-line drawing} if the vertices of $G$ are represented by distinct points in the plane and every edge is represented by a straight-line segment connecting the corresponding pair of vertices and not passing through any other vertex of $G$. The minimum number of slopes in a straight-line drawing of $G$ is called the slope number of $G$. We show that every cubic graph can be drawn in the plane with straight-line edges using only the four basic slopes $\{0,\pi/4,\pi/2,-\pi/4\}$. We also prove that four slopes have this property if and only if we can draw $K_4$ with them. Given a graph $G$, an {\em obstacle representation} of $G$ is a set of points in the plane representing the vertices of $G$, together with a set of obstacles (connected polygons) such that two vertices of $G$ are joined by an edge if and only if the corresponding points can be connected by a segment which avoids all obstacles. The {\em obstacle number} of $G$ is the minimum number of obstacles in an obstacle representation of $G$. We show that there are graphs on $n$ vertices with obstacle number $\Omega({n}/{\log n})$. We show that there is an $m=2n+o(n)$, such that, in the Maker-Breaker game played on $\Z^d$ where Maker needs to put at least $m$ of his marks consecutively in one of $n$ given winning directions, Breaker can force a draw using a pairing strategy. This improves the result of Kruczek and Sundberg who showed that such a pairing strategy exits if $m\ge 3n$. A simple argument shows that $m$ has to be at least $2n+1$ if Breaker is only allowed to use a pairing strategy, thus the main term of our bound is optimal. ;"Combinatorics (math.CO); Discrete Mathematics (cs.DM)"
https://arxiv.org/abs/1109.0336;GL(p) x GL(q)-orbit closures on the flag variety and Schubert structure  constants for (p,q)-pairs; Benjamin J. Wyser;"  We give positive combinatorial descriptions of Schubert structure constants $c_{u,v}^w$ for the full flag variety in type $A_{n-1}$ when $u$ and $v$ form what we refer to as a ""$(p,q)$-pair"" ($p+q=n$). The key observation is that a certain subset of the $GL(p,\mathbb{C}) \times GL(q,\mathbb{C})$-orbit closures on the flag variety (those satisfying an easily stated pattern avoidance condition) are Richardson varieties. The result on structure constants follows when one combines this observation with a theorem of Brion concerning intersection numbers of spherical subgroup orbit closures and Schubert varieties. ";"Combinatorics (math.CO); Algebraic Geometry (math.AG); Representation Theory (math.RT)"
https://arxiv.org/abs/1109.0366;Half-turn symmetric FPLs with rare couplings and tilings of hexagons; Jean-Christophe Aval (LaBRI),  Philippe Duchon (LaBRI, INRIA Bordeaux - Sud-Ouest);"  In this work, we put to light a formula that relies the number of fully packed loop configurations (FPLs) associated to a given coupling pi to the number of half-turn symmetric FPLs (HTFPLs) of even size whose coupling is a punctured version of the coupling pi. When the coupling pi is the coupling with all arches parallel pi0 (the ""rarest"" one), this formula states the equality of the number of corresponding HTFPLs to the number of cyclically-symmetric plane partition of the same size. We provide a bijective proof of this fact. In the case of HTFPLs odd size, and although there is no similar expression, we study the number of HTFPLs whose coupling is a slit version of pi_0, and put to light new puzzling enumerative coincidence involving countings of tilings of hexagons and various symmetry classes of FPLs. ";Combinatorics (math.CO)
https://arxiv.org/abs/1109.0370;Dyck tableaux; Jean-Christophe Aval (LaBRI),  Adrien Boussicault (LaBRI),  Sandrine Dasse-Hartaut (LIAFA);  In this work, we introduce new combinatorial objects called Dyck tableaux, which present a natural insertion algorithm. These tools may be useful to describe statistics which are relevant in the study of the physical model named PASEP. ;Combinatorics (math.CO)
https://arxiv.org/abs/1109.0371;Tree-like tableaux; Jean-Christophe Aval (LaBRI),  Adrien Boussicault (LaBRI),  Philippe Nadeau (ICJ);  In this work we introduce and study tree-like tableaux, which are certain fillings of Ferrers diagrams in simple bijection with permutation tableaux and alternative tableaux. We exhibit an elementary insertion procedure on our tableaux which gives a clear proof that tree-like tableaux of size n are counted by n!, and which moreover respects most of the well-known statistics studied originally on alternative and permutation tableaux. Our insertion procedure allows to define in particular two simple new bijections between tree-like tableaux and permutations: the first one is conceived specifically to respect the generalized pattern 2-31, while the second one respects the underlying tree of a tree-like tableau. ;Combinatorics (math.CO)
https://arxiv.org/abs/1109.0417;An Analogue of Hilton-Milner Theorem for Set Partitions; Cheng Yeaw Ku,  Kok Bin Wong;  Let $\mathcal{B}(n)$ denote the collection of all set partitions of $[n]$. Suppose $\mathcal{A} \subseteq \mathcal{B}(n)$ is a non-trivial $t$-intersecting family of set partitions i.e. any two members of $\A$ have at least $t$ blocks in common, but there is no fixed $t$ blocks of size one which belong to all of them. It is proved that for sufficiently large $n$ depending on $t$, \[ |\mathcal{A}| \le B_{n-t}-\tilde{B}_{n-t}-\tilde{B}_{n-t-1}+t \] where $B_{n}$ is the $n$-th Bell number and $\tilde{B}_{n}$ is the number of set partitions of $[n]$ without blocks of size one. Moreover, equality holds if and only if $\mathcal{A}$ is equivalent to \[ \{P \in \mathcal{B}(n): \{1\}, \{2\},..., \{t\}, \{i\} \in P \textnormal{for some} i \not = 1,2,..., t,n \}\cup \{Q(i,n)\ :\ 1\leq i\leq t\} \] where $Q(i,n)=\{\{i,n\}\}\cup\{\{j\}\ :\ j\in [n]\setminus \{i,n\}\}$. This is an analogue of the Hilton-Milner theorem for set partitions. ;Combinatorics (math.CO)
https://arxiv.org/abs/1109.0522;Graham's Tree Reconstruction Conjecture and a Waring-Type Problem on  Partitions; Joshua Cooper,  Bill Kay,  Anton Swifton;"  Suppose $G$ is a tree. Graham's ""Tree Reconstruction Conjecture"" states that $G$ is uniquely determined by the integer sequence $|G|$, $|L(G)|$, $|L(L(G))|$, $|L(L(L(G)))|$, $\ldots$, where $L(H)$ denotes the line graph of the graph $H$. Little is known about this question apart from a few simple observations. We show that the number of trees on $n$ vertices which can be distinguished by their associated integer sequences is $e^{\Omega((\log n)^{3/2})}$. The proof strategy involves constructing a large collection of caterpillar graphs using partitions arising from the Prouhet-Tarry-Escott problem. ";"Combinatorics (math.CO); Discrete Mathematics (cs.DM)"
