url;title;authors;abstract;subject
https://arxiv.org/abs/1609.00358;Lorentzian manifolds with a conformal action of SL(2,R); Vincent Pecastaing;  We consider conformal actions of simple Lie groups on compact Lorentzian manifolds. Mainly motivated by the Lorentzian version of a conjecture of Lichnerowicz, we establish the alternative: Either the group acts isometrically for some metric in the conformal class, or the manifold is conformally flat - that is, everywhere locally conformally diffeomorphic to Minkowski space-time. When the group is non-compact and not locally isomorphic to SO(1,n), n>1, we derive global conclusions, extending a theorem of Frances and Zeghib to some simple Lie groups of real-rank 1. This result is also a first step towards a classification of the conformal groups of compact Lorentz manifolds, analogous to a classification of their isometry groups due to Adams, Stuck and, independently, Zeghib at the end of the 1990's. ;"Differential Geometry (math.DG); Dynamical Systems (math.DS)"
https://arxiv.org/abs/1609.00366;Rigidity of Free Boundary Surfaces in Compact 3-Manifolds with Strictly  Convex Boundary; Abraão Mendes;  In this paper we obtain an analogue of Toponogov theorem in dimension 3 for compact manifolds $M^3$ with nonnegative Ricci curvature and strictly convex boundary $\partial M$. Here we obtain a sharp upper bound for the length $L(\partial\Sigma)$ of the boundary $\partial\Sigma$ of a free boundary minimal surface $\Sigma^2$ in $M^3$ in terms of the genus of $\Sigma$ and the number of connected components of $\partial\Sigma$, assuming $\Sigma$ has index one. After, under a natural hypothesis on the geometry of $M$ along $\partial M$, we prove that if $L(\partial\Sigma)$ saturates the respective upper bound, then $M^3$ is isometric to the Euclidean 3-ball and $\Sigma^2$ is isometric to the Euclidean disk. In particular, we get a sharp upper bound for the area of $\Sigma$, when $M^3$ is a strictly convex body in $\mathbb R^3$, which is saturated only on the Euclidean 3-balls (by the Euclidean disks). We also consider similar results for stationary stable surfaces. ;Differential Geometry (math.DG)
https://arxiv.org/abs/1609.00395;Anisotropically Weighted and Nonholonomically Constrained Evolutions on  Manifolds; Stefan Sommer;  We present evolution equations for a family of paths that results from anisotropically weighting curve energies in non-linear statistics of manifold valued data. This situation arises when performing inference on data that have non-trivial covariance and are anisotropic distributed. The family can be interpreted as most probable paths for a driving semi-martingale that through stochastic development is mapped to the manifold. We discuss how the paths are projections of geodesics for a sub-Riemannian metric on the frame bundle of the manifold, and how the curvature of the underlying connection appears in the sub-Riemannian Hamilton-Jacobi equations. Evolution equations for both metric and cometric formulations of the sub-Riemannian metric are derived. We furthermore show how rank-deficient metrics can be mixed with an underlying Riemannian metric, and we relate the paths to geodesics and polynomials in Riemannian geometry. Examples from the family of paths are visualized on embedded surfaces, and we explore computational representations on finite dimensional landmark manifolds with geometry induced from right-invariant metrics on diffeomorphism groups. ;"Differential Geometry (math.DG); Statistics Theory (math.ST)"
https://arxiv.org/abs/1609.00488;Singularities of Frontals; Goo Ishikawa;  In this survey article we introduce the notion of frontals, which provides a class of generalised submanifolds with singularities but with well-defined tangent spaces. We present a review of basic theory and known studies on frontals in several geometric problems from singularity theory viewpoints. In particular, in this paper, we try to give some of detailed proofs and related ideas, which were omitted in the original papers, to the basic and important results related to frontals. ;Differential Geometry (math.DG)
https://arxiv.org/abs/1609.00570;Surfaces expanding by non-concave curvature functions; Haizhong Li,  Xianfeng Wang,  Yong Wei;  In this paper, we first investigate the flow of convex surfaces in Euclidean space $\mathbb{R}^3$ and hyperbolic space $\mathbb{H}^3$ expanding by $F^{-\alpha}$, where $F$ is a monotone, homogeneous of degree one function of the principal curvatures of the surfaces and $\alpha\in(0,1]$. By deriving the key ingredient that the pinching ratio of the flow surface $M_t$ is no greater than that of the initial surface $M_0$, we prove the long time existence and the convergence of the flow. No concavity assumption of $F$ is required. We also show that for the flow in $\mathbb{H}^3$ with $\alpha\in (0,1)$, the limit shape may not be necessarily round after rescaling, by adapting Hung-Wang's approach in the case $\alpha=1$. ;"Differential Geometry (math.DG); Analysis of PDEs (math.AP)"
https://arxiv.org/abs/1609.00642;On total mean curvatures of foliated half-lightlike submanifolds in  semi-Riemannian manifolds; Fortuné Massamba,  Samuel Ssekajja;  We derive total mean curvature integration formulae of a three co-dimensional foliation $\mathcal{F}^{n}$ on a screen integrable half-lightlike submanifold, $M^{n+1}$ in a semi-Riemannian manifold $\overline{M}^{n+3}$. We give generalized differential equations relating to mean curvatures of a totally umbilical half-lightlike submanifold admitting a totally umbilical screen distribution, and show that they are generalizations of those given by [4]. ;Differential Geometry (math.DG)
https://arxiv.org/abs/1609.00897;On the Calabi-Yau equation in the Kodaira-Thurston manifold; Luigi Vezzoni;  We review some previous results about the Calabi-Yau equation on the Kodaira-Thurston manifold equipped with an invariant almost-Kaehler structure and assuming the volume form invariant by the action of a torus. In particular, we observe that under some restrictions the problem is reduced to a Monge-Amp\`ere equation by using the ansatz $\tilde \omega=\Omega-dJdu+da$, where $u$ is a $T^2$-invariant function and $a$ is a $1$-form depending on $u$. Furthermore, we extend our analysis to non-invariant almost-complex structures by considering some basic cases and we finally take into account a generalization to higher dimensions. ;Differential Geometry (math.DG)
https://arxiv.org/abs/1609.01008;An integral formula for affine connections; Junfang Li,  Chao Xia;  In this article, we introduce a $2$-parameter family of affine connections and derive the Ricci curvature. We first establish an integral Bochner technique. On one hand, this technique yields a new proof to our recent work in \cite{LX} for substatic manifolds. On the other hand, this technique leads to various geometric inequalities and eigenvalue estimates under a much more general Ricci curvature conditions. The new Ricci curvature condition interpolates between static Ricci tensor and $1$-Bakry-Emery Ricci, and also includes the conformal Ricci as an intermediate case. ;Differential Geometry (math.DG)
https://arxiv.org/abs/1609.01169;Explicit Solving of the System of Natural PDE's of Minimal Surfaces in  the Four-Dimensional Euclidean Space; Georgi Ganchev,  Krasimir Kanchev;  The fact that minimal surfaces in the four-dimensional Euclidean space admit natural parameters implies that any minimal surface is determined uniquely up to a motion by two curvature functions, satisfying a system of two PDE's (the system of natural PDE's). In fact this solves the problem of Lund-Regge for minimal surfaces. Using the corresponding result for minimal surfaces in the three-dimensional Euclidean space, we solve explicitly the system of natural PDE's, expressing any solution by virtue of two holomorphic functions in the Gauss plane. We find the relation between two pairs of holomorphic functions (i.e. the class of pairs of holomorphic functions) generating one and the same solution of the system of natural PDE's. ;Differential Geometry (math.DG)
https://arxiv.org/abs/1609.01242;An explicit Ricci potential for the Universal Moduli Space of Vector  Bundles; Jørgen Ellegaard Andersen,  Niccolo Skovgård Poulsen;"  In this paper we modify the coordinate construction in our previous paper on the universal moduli space of pair consisting of a Riemann Surfaces and a stable holomorphic bundles on the Riemann Surface, so as to produce a new set of coordinates, which are in fact K\"" ahler coordinates on this universal moduli space. Further, we give a functional determinant formula for the Ricci potential of the universal moduli space. ";Differential Geometry (math.DG)
https://arxiv.org/abs/1609.01243;The Curvature of the Hitchin Connection; Jørgen Ellegaard Andersen,  Niccolo Skovgård Poulsen;"  In this paper we calculate the curvature of the Hitchin connection. We further show that a slight (possibly trivial) modification of the Hitchin connection has curvature equal to an explict given multiple of the Weil-Petersen symplectic form on Teichm\""{u}ller space. ";Differential Geometry (math.DG)
https://arxiv.org/abs/1609.01312;Towards Noncommutative Topological Quantum Field Theory: Tangential  Hodge-Witten cohomology; Ioannis P. Zois;  We present a method to develop a Hodge theory for tangential cohomology of foliations by mimicing Witten's approach to ordinary Morse theory by perturbations of the Laplacian ;"Differential Geometry (math.DG); High Energy Physics - Theory (hep-th); Mathematical Physics (math-ph)"
https://arxiv.org/abs/1609.01377;"A remark on our paper ""Negative Holomorphic curvature and positive  canonical bundle"""; Damin Wu,  Shing-Tung Yau;  This is a continuation of our first paper in [WY16]. There are two purposes of this paper: One is to give a proof of the main result in [WY16] without going through the argument depending on numerical effectiveness. The other one is to provide a proof of our conjecture, mentioned in [TY], where the assumption of negative holomorphic sectional curvature is dropped to quasi-negative. We should note that a solution to our conjecture is also provided by Diverio-Trapani [DT]. Both proofs depend on our argument in [WY16]. But our argument here makes use of the argument given by the second author and Cheng in [CY75]. ;Differential Geometry (math.DG)
https://arxiv.org/abs/1609.01395;A Hitchin Connection for a large class of families of Kähler  Structures; Jørgen Ellegaard Andersen,  Kenneth Rasmussen;  In this paper we construct a Hitchin connection in a setting, which significantly generalizes the setting covered by the first author previously, which in turn was a generalisation of the moduli space case covered by Hitchin in his original work on the Hitchin connection. In fact, our construction provides a Hitchin connection, which is a partial connection on the space of all compatible complex structures on an arbitrary, but fixed prequantizable symplectic manifold, which satisfies a certain Fano type condition. The subspace of the tangent space to the space of compatible complex structures on which the constructed Hitchin connection is defined, is in fact of finite co-dimension, if the symplectic manifold is compact. In a number of examples, including flat symplectic space, symplectic tori and moduli spaces of flat connections for a compact Lie group, we prove that our Hitchin connection is defined in a neighbourhood of the natural families of complex structures compatible with the given symplectic form, which these spaces admits. ;Differential Geometry (math.DG)
https://arxiv.org/abs/1609.01485;The Morse index of the critical catenoid; Graham Smith,  Detang Zhou;  We show that the rotationally symmetric free boundary minimal catenoid in the unit ball in $\Bbb{R}^3$ has Morse index equal to $4$. ;Differential Geometry (math.DG)
https://arxiv.org/abs/1609.01509;Rigidity and Vanishing Theorems for Almost Even-Clifford Hermitian  Manifolds; Ana Lucia Garcia-Pulido,  Rafael Herrera;"  We prove the rigidity and vanishing of several indices of ""geometrically natural"" twisted Dirac operators on almost even-Clifford Hermitian manifolds admitting circle actions by automorphisms. ";Differential Geometry (math.DG)
https://arxiv.org/abs/1609.01557;Non orientable three-submanifolds of $\mathrm{G}_2-$manifolds; Leonardo Bagaglini;"  By analogy with associative and co-associative cases we introduce a class of three-dimensional non-orientable submanifolds, of almost $\mathrm{G}_2-$manifolds, modelled on planes lying in a special $\mathrm{G}_2-$orbit. An application of the Cartan-K\""ahler theory shows that some three-manifold can be presented in this way. We also classify all the homogeneous ones in $\mathbb{RP}^7$. ";Differential Geometry (math.DG)
