url;title;authors;abstract;subject
https://arxiv.org/abs/1002.0201;Baryon resonance production in the $π+d$ reaction and search for  $η$-mesic nuclei at J-PARC; H. Fujioka,  K. Itahashi;  A double-scattering reaction $\pi^+ + d\to p + p + \eta$, where an $\eta$ meson is rescattered, may provide new information on the $\eta N\to \eta N$ scattering. An idea to measure this reaction is proposed. Moreover, experimental search for $\eta$-mesic nuclei by the same $(\pi, N)$ reaction is discussed. ;"Nuclear Experiment (nucl-ex); High Energy Physics - Experiment (hep-ex); High Energy Physics - Phenomenology (hep-ph); Nuclear Theory (nucl-th)"
https://arxiv.org/abs/1002.0311;A novel approach to Isoscaling: the role of the order parameter m =  (N-Z)/A; M. Huang,  Z. Chen,  S. Kowalski,  R. Wada,  T. Keutgen,  K.Hagel,  J. Wang,  L. Qin,  J.B. Natowitz,  T. Materna,  P.K. Sahu,  M.Barbui,  C.Bottosso,  M.R.D.Rodrigues,  A. Bonasera;  Isoscaling is derived within a recently proposed modified Fisher model where the free energy near the critical point is described by the Landau O(m^6) theory. In this model m = (N-Z)/A is the order parameter, a consequence of (one of) the symmetries of the nuclear Hamiltonian. Within this framework we show that isoscaling depends mainly on this order parameter through the 'external (conjugate) field' H. The external field is just given by the difference in chemical potentials of the neutrons and protons of the two sources. To distinguish from previously employed isoscaling relationships, this approach is dubbed: m - scaling. We discuss the relationship between this framework and the standard isoscaling formalism and point out some substantial differences in interpretation of experimental results which might result. These should be investigated further both theoretically and experimentally. ;Nuclear Experiment (nucl-ex)
https://arxiv.org/abs/1002.0313;Nuclear symmetry energy: An experimental overview; D.V. Shetty,  S.J. Yennello;  The nuclear symmetry energy is a fundamental quantity important for studying the structure of systems as diverse as the atomic nucleus and the neutron star. Considerable efforts are being made to experimentally extract the symmetry energy and its dependence on nuclear density and temperature. In this article, we review experimental studies carried out up-to-date and their current status. ;"Nuclear Experiment (nucl-ex); Nuclear Theory (nucl-th)"
https://arxiv.org/abs/1002.0319;Isocaling and the Symmetry Energy in the Multifragmentation Regime of  Heavy Ion Collisions; Z. Chen,  S. Kowalski,  M. Huang,  R. Wada,  T. Keutgen,  K. Hagel,  J.Wang,  L. Qin,  J.B. Natowitz,  T. Materna,  P.K. Sahu,  A. Bonasera;  The ratio of the symmetry energy coefficient to temperature, $a_sym/T$, in Fermi energy heavy ion collisions, has been experimentally extracted as a function of the fragment atomic number using isoscaling parameters and the variance of the isotope distributions. The extracted values have been compared to the results of calculations made with an Antisymmetrized Molecular Dynamics (AMD) model employing a statistical decay code to account for deexcitation of excited primary fragments. The experimental values are in good agreement with the values calculated but are significantly different from those characterizing the yields of the primary AMD fragments. ;Nuclear Experiment (nucl-ex)
https://arxiv.org/abs/1002.0380;Collective and fractal properties of pion jets in the four-velocity  space at intermediate energies;" V.A. Okorokov,  A.K. Ponosov,  F.M. Sergeev (National Research Nuclear University ""MEPhI"")";  Experimental results are presented for study of collective and fractal properties of soft pion jets in the space of relative four-dimensional velocities. Significant decreasing is obtained for mean square of second particle distances from jet axis for pion-proton interactions at initial energies $\sim 3$ GeV in comparison with hadron-nuclear collisions at close energies. The decreasing results in power dependence of distance variable on collision energy for range $\sim 2 - 4$ GeV. The observation allows us to estimate the low boundary of manifestation of color degree of freedom in pion jet production. Cluster dimension values were deduced for pion jets in various reactions. Fractional values of this dimension indicate on the manifestation of fractal-like properties by pion jets. Changing of mean kinetic energy of jet particles and fractal dimension with initial energy increasing is consistent with suggestion for presence of color degrees of freedom in pion jet production at intermediate energies. ;Nuclear Experiment (nucl-ex)
https://arxiv.org/abs/1002.0534;Non-flow correlations and elliptic flow fluctuations in gold-gold  collisions at sqrt(s_NN)= 200 GeV; B.Alver, et al,  for the PHOBOS Collaboration;  This paper presents results on event-by-event elliptic flow fluctuations in Au+Au collisions at sqrt(s_NN)=200Gev, where the contribution from non-flow correlations has been subtracted. An analysis method is introduced to measure non-flow correlations, relying on the assumption that non-flow correlations are most prominent at short ranges (Delta eta < 2). Assuming that non-flow correlations are of the order that is observed in p+p collisions for long range correlations (Delta eta > 2), relative elliptic flow fluctuations of approximately 30-40% are observed. These results are consistent with predictions based on spatial fluctuations of the participating nucleons in the initial nuclear overlap region. It is found that the long range non-flow correlations in Au+Au collisions would have to be more than an order of magnitude stronger compared to the p+p data to lead to the observed azimuthal anisotropy fluctuations with no intrinsic elliptic flow fluctuations. ;Nuclear Experiment (nucl-ex)
https://arxiv.org/abs/1002.0560;First test of a cryogenic scintillation module with a CaWO4 scintillator  and a low-temperature photomultiplier down to 6 K; H. Kraus,  V. B. Mikhailik;  Future cryogenic experiments searching for rare events require reliable, efficient and robust techniques for the detection of photons at temperatures well below that to which low-temperature photomultipliers (PMT) were characterised. Motivated by this we investigated the feasibility of a low-temperature PMT for the detection of scintillation from crystalline scintillators at T = 6 K. The scintillation module was composed of a CaWO4 scintillator and a low-temperature PMT D745B from ET Enterprises. The PMT responsivity was studied at T=290, 77 and 6 K using gamma-quanta from 241Am (60 keV) and 57Co (122 and 136 keV) sources. We have shown that the low-temperature PMT retains its single photon counting ability even at cryogenic temperatures. At T = 6 K, the response of the PMT decreases to 51 +- 13 % and 27 +- 6 % when assessed in photon counting and pulse height mode, respectively. Due to the light yield increase of the CaWO4 scintillating crystal the overall responsivity of the scintillation modules CaWO4+PMT is 94 +- 15 % (photon counting) and 48 +- 8 % (pulse height) when cooling to T = 6 K. The dark count rate was found to be 20 s-1. The energy resolution of the module remains similar to that measured at room temperature using either detection mode. It is concluded that commercially available low-temperature PMT are well suited for detection of scintillation light at cryogenic temperatures. ;Nuclear Experiment (nucl-ex)
https://arxiv.org/abs/1002.0649;Constraints on models for the initial collision geometry in ultra  relativistic heavy ion collisions; Roy A. Lacey,  Rui Wei,  N. N. Ajitanand,  J. M. Alexander,  X. Gong,  J. Jia,  A. Taranenko,  (Stony Brook University) R. Pak (Brookhaven National Laboratory),  Horst Stocker (Frankfurt);  Monte Carlo (MC) simulations are used to compute the centrality dependence of the collision zone eccentricities ($\epsilon_{2,4}$), for both spherical and deformed ground state nuclei, for different model scenarios. Sizable model dependent differences are observed. They indicate that measurements of the $2^{\text{nd}}$ and $4^{\text{th}}$ order Fourier flow coefficients $v_{2,4}$, expressed as the ratio $\frac{v_4}{(v_2)^2}$, can provide robust constraints for distinguishing between different theoretical models for the initial-state eccentricity. Such constraints could remove one of the largest impediments to a more precise determination of the specific viscosity from precision $v_{2,4}$ measurements at the Relativistic Heavy Ion Collider (RHIC). ;"Nuclear Experiment (nucl-ex); High Energy Physics - Experiment (hep-ex); Nuclear Theory (nucl-th)"
https://arxiv.org/abs/1002.0896;Isoscalar giant resonances in the Sn nuclei and implications for the  asymmetry term in the nuclear-matter incompressibility; T. Li,  U. Garg, et al;"  We have investigated the isoscalar giant resonances in the Sn isotopes using inelastic scattering of 386-MeV alpha-particles at extremely forward angles, including 0deg. We have obtained completely ""background-free inelastic-scattering spectra for the Sn isotopes over the angular range 0deg--9deg and up to an excitation energy of 31.5 MeV. The strength distributions for various multipoles were extracted by a multipole decomposition analysis based on the expected angular distributions of the respective multipoles. We find that the centroid energies of the isoscalar giant monopole resonance (ISGMR) in the Sn isotopes are significantly lower than the theoretical predictions. In addition, based on the ISGMR results, a value of K_{tau} = -550 \pm 100 MeV is obtained for the asymmetry term in the nuclear incompressibility. Constraints on interactions employed in nuclear structure calculations are discussed on the basis of the experimentally-obtained values for K_(infty) and K_(tau). ";Nuclear Experiment (nucl-ex)
https://arxiv.org/abs/1002.1077;Trends in Yield and Azimuthal Shape Modification in Dihadron  Correlations in Relativistic Heavy Ion Collisions;" <!-- function toggleAuthorList(whichLayer,toggleThis) {   var elem, vis, tempToggle;   tempToggle=toggleThis;   if( document.getElementById ) // standard       elem = document.getElementById( whichLayer );   else if( document.all ) // old msie versions       elem = document.all[whichLayer];   else if( document.layers ) // nn4       elem = document.layers[whichLayer];   vis = elem.style;   // if the style.display value is blank we try to figure it out here   if(vis.display==''&&elem.offsetWidth!=undefined&&elem.offsetHeight!=undefined)     vis.display = (elem.offsetWidth!=0&&elem.offsetHeight!=0)?'inline':'none';   vis.display = (vis.display==''||vis.display=='inline')?'none':'inline';    // toggle link inner text   status = vis.display;   if(status=='none'){       document.getElementById('toggle').innerHTML = tempToggle + "")"";       document.getElementById('toggle').title = ""Show Entire Author List"";   }   else if(status=='inline'){       document.getElementById('toggle').innerHTML = ""(collapse list)"";       document.getElementById('toggle').title = ""Collapse Author List"";   } }  //-->  A.Adare,  S.Afanasiev,  C.Aidala,  N.N.Ajitanand,  Y.Akiba,  H.Al-Bataineh,  J.Alexander,  T.Alho,  K.Aoki,  L.Aphecetche,  Y.Aramaki,  J.Asai,  E.T.Atomssa,  R.Averbeck,  T.C.Awes,  B.Azmoun,  V.Babintsev,  M.Bai,  G.Baksay,  L.Baksay,  A.Baldisseri,  K.N.Barish,  P.D.Barnes,  B.Bassalleck,  A.T.Basye,  S.Bathe,  S.Batsouli,  V.Baublis,  C.Baumann,  A.Bazilevsky,  S.Belikov,  R.Belmont,  R.Bennett,  A.Berdnikov,  Y.Berdnikov,  A.A.Bickley,  J.G.Boissevain,  J.S.Bok,  H.Borel,  K.Boyle,  M.L.Brooks,  H.Buesching,  V.Bumazhnov,  G.Bunce,  S.Butsyk,  C.M.Camacho,  S.Campbell,  B.S.Chang,  W.C.Chang,  J.-L.Charvet,  C.-H.Chen,  S.Chernichenko,  C.Y.Chi,  M.Chiu,  I.J.Choi,  R.K.Choudhury,  P.Christiansen,  T.Chujo,  P.Chung,  A.Churyn,  O.Chvala,  V.Cianciolo,  Z.Citron,  B.A.Cole,  M.Connors,  P.Constantin,  M.Csanád,  T.Csörgő,  T.Dahms,  S.Dairaku,  I.Danchev,  K.Das,  A.Datta,  G.David,  A.Denisov,  D.d'Enterria,  A.Deshpande,  E.J.Desmond,  O.Dietzsch,  A.Dion,  M.Donadelli,  O.Drapier,  A.Drees,  K.A.Drees,  A.K.Dubey,  M.Durham,  A.Durum,  D.Dutta,  V.Dzhordzhadze,  S.Edwards,  Y.V.Efremenko,  F.Ellinghaus,  T.Engelmore,  A.Enokizono,  H.En'yo,  S.Esumi,  K.O.Eyser,  B.Fadem,  D.E.Fields,  M.Finger,  \, Jr.,  M.Finger,  F.Fleuret,  S.L.Fokin,  Z.Fraenkel,  J.E.Frantz,  A.Franz,  A.D.Frawley,  K.Fujiwara,  Y.Fukao,  T.Fusayasu,  I.Garishvili,  A.Glenn,  H.Gong,  M.Gonin,  J.Gosset,  Y.Goto,  R.Granier de Cassagnac,  N.Grau,  S.V.Greene,  M.Grosse Perdekamp,  T.Gunji,  H.-Å.Gustafsson,  A.Hadj Henni,  J.S.Haggerty,  I.Hahn,  H.Hamagaki,  J.Hamblen,  J.Hanks,  R.Han,  E.P.Hartouni,  K.Haruna,  E.Haslum,  R.Hayano,  M.Heffner,  S.Hegyi,  T.K.Hemmick,  T.Hester,  X.He,  J.C.Hill,  M.Hohlmann,  W.Holzmann,  K.Homma,  B.Hong,  T.Horaguchi,  D.Hornback,  S.Huang,  T.Ichihara,  R.Ichimiya,  J.Ide,  Y.Ikeda,  K.Imai,  J.Imrek,  M.Inaba,  D.Isenhower,  M.Ishihara,  T.Isobe,  M.Issah,  A.Isupov,  D.Ivanischev,  B.V.Jacak,  J.Jia,  J.Jin,  B.M.Johnson,  K.S.Joo,  D.Jouan,  D.S.Jumper,  F.Kajihara,  S.Kametani,  N.Kamihara,  J.Kamin,  J.H.Kang,  J.Kapustinsky,  D.Kawall,  M.Kawashima,  A.V.Kazantsev,  T.Kempel,  A.Khanzadeev,  K.M.Kijima,  J.Kikuchi,  B.I.Kim,  D.H.Kim,  D.J.Kim,  E.-J.Kim,  E.Kim,  S.H.Kim,  Y.J.Kim,  E.Kinney,  K.Kiriluk,  A.Kiss,  E.Kistenev,  J.Klay,  C.Klein-Boesing,  L.Kochenda,  B.Komkov,  M.Konno,  J.Koster,  D.Kotchetkov,  A.Kozlov,  A.Král,  A.Kravitz,  G.J.Kunde,  K.Kurita,  M.Kurosawa,  M.J.Kweon,  Y.Kwon,  G.S.Kyle,  R.Lacey,  Y.S.Lai,  J.G.Lajoie,  D.Layton,  A.Lebedev,  D.M.Lee,  J.Lee,  K.B.Lee,  K.Lee,  K.S.Lee,  T.Lee,  M.J.Leitch,  M.A.L.Leite,  E.Leitner,  B.Lenzi,  P.Liebing,  L.A.Linden Levy,  T.Liška,  A.Litvinenko,  H.Liu,  M.X.Liu,  X.Li,  B.Love,  R.Luechtenborg,  D.Lynch,  C.F.Maguire,  Y.I.Makdisi,  A.Malakhov,  M.D.Malik,  V.I.Manko,  E.Mannel,  Y.Mao,  L.Mašek,  H.Masui,  F.Matathias,  M.McCumber,  P.L.McGaughey,  N.Means,  B.Meredith,  Y.Miake,  A.Mignerey,  P.Mikeš,  K.Miki,  A.Milov,  M.Mishra,  J.T.Mitchell,  A.K.Mohanty,  Y.Morino,  A.Morreale,  D.P.Morrison,  T.V.Moukhanova,  D.Mukhopadhyay,  J.Murata,  S.Nagamiya,  J.L.Nagle,  M.Naglis,  M.I.Nagy,  I.Nakagawa,  Y.Nakamiya,  T.Nakamura,  K.Nakano,  J.Newby,  M.Nguyen,  T.Niita,  R.Nouicer,  A.S.Nyanin,  E.O'Brien,  S.X.Oda,  C.A.Ogilvie,  H.Okada,  K.Okada,  M.Oka,  Y.Onuki,  A.Oskarsson,  M.Ouchida,  K.Ozawa,  R.Pak,  A.P.T.Palounek,  V.Pantuev,  V.Papavassiliou,  I.Park,  J.Park,  S.K.Park,  W.J.Park,  S.F.Pate,  H.Pei,  J.-C.Peng,  H.Pereira,  V.Peresedov,  D.Yu.Peressounko,  C.Pinkenburg,  R.P.Pisani,  M.Proissl,  M.L.Purschke,  A.K.Purwar,  H.Qu,  J.Rak,  A.Rakotozafindrabe,  I.Ravinovich,  K.F.Read,  S.Rembeczki,  K.Reygers,  V.Riabov,  Y.Riabov,  E.Richardson,  D.Roach,  G.Roche,  S.D.Rolnick,  M.Rosati,  C.A.Rosen,  S.S.E.Rosendahl,  P.Rosnet,  P.Rukoyatkin,  P.Ružička,  V.L.Rykov,  B.Sahlmueller,  N.Saito,  T.Sakaguchi,  S.Sakai,  K.Sakashita,  V.Samsonov,  S.Sano,  T.Sato,  S.Sawada,  K.Sedgwick,  J.Seele,  R.Seidl,  A.Yu.Semenov,  V.Semenov,  R.Seto,  D.Sharma,  I.Shein,  T.-A.Shibata,  K.Shigaki,  M.Shimomura,  K.Shoji,  P.Shukla,  A.Sickles,  C.L.Silva,  D.Silvermyr,  C.Silvestre,  K.S.Sim,  B.K.Singh,  C.P.Singh,  V.Singh,  M.Slunečka,  A.Soldatov,  R.A.Soltz,  W.E.Sondheim,  S.P.Sorensen,  I.V.Sourikova,  N.A.Sparks,  F.Staley,  P.W.Stankus,  E.Stenlund,  M.Stepanov,  A.Ster,  S.P.Stoll,  T.Sugitate,  C.Suire,  A.Sukhanov,  J.Sziklai,  E.M.Takagui,  A.Taketani,  R.Tanabe,  Y.Tanaka,  K.Tanida,  M.J.Tannenbaum,  S.Tarafdar,  A.Taranenko,  P.Tarján,  H.Themann,  T.L.Thomas,  M.Togawa,  A.Toia,  L.Tomášek,  Y.Tomita,  H.Torii,  R.S.Towell,  V-N.Tram,  I.Tserruya,  Y.Tsuchimoto,  C.Vale,  H.Valle,  H.W.van Hecke,  E.Vazquez-Zambrano,  A.Veicht,  J.Velkovska,  R.Vertesi,  A.A.Vinogradov,  M.Virius,  V.Vrba,  E.Vznuzdaev,  X.R.Wang,  D.Watanabe,  K.Watanabe,  Y.Watanabe,  F.Wei,  J.Wessels,  S.N.White,  D.Winter,  J.P.Wood,  C.L.Woody,  R.M.Wright,  M.Wysocki,  W.Xie,  Y.L.Yamaguchi,  K.Yamaura,  R.Yang,  A.Yanovich,  J.Ying,  S.Yokkaichi,  G.R.Young,  I.Younus,  Z.You,  I.E.Yushmanov,  W.A.Zajc,  O.Zaudtke,  C.Zhang,  S.Zhou,  L.Zolin  et al. (358 additional authors not shown) You must enabled JavaScript to view entire author list. ";  Fast parton probes produced by hard scattering and embedded within collisions of large nuclei have shown that partons suffer large energy loss and that the produced medium may respond collectively to the lost energy. We present measurements of neutral pion trigger particles at transverse momenta p^t_T = 4-12 GeV/c and associated charged hadrons (p^a_T = 0.5-7 GeV/c) as a function of relative azimuthal angle Delta Phi at midrapidity in Au+Au and p+p collisions at sqrt(s_NN) = 200 GeV. These data lead to two major observations. First, the relative angular distribution of low momentum hadrons, whose shape modification has been interpreted as a medium response to parton energy loss, is found to be modified only for p^t_T < 7 GeV/c. At higher p^t_T, the data are consistent with unmodified or very weakly modified shapes, even for the lowest measured p^a_T. This observation presents a quantitative challenge to medium response scenarios. Second, the associated yield of hadrons opposite to the trigger particle in Au+Au relative to that in p+p (I_AA) is found to be suppressed at large momentum (IAA ~ 0.35-0.5), but less than the single particle nuclear modification factor (R_AA ~0.2). ;Nuclear Experiment (nucl-ex)
