url;title;authors;abstract;subject
https://arxiv.org/abs/1009.0067;Abelian anomaly and neutral pion production; H.L.L. Roberts,  C.D. Roberts,  A. Bashir,  L.X. Gutierrez-Guerrero,  P.C. Tandy;"  We show that in fully-self-consistent treatments of the pion; namely, its static properties and elastic and transition form factors, the asymptotic limit of the product Q^2 G_{\gamma * \gamma \pi ^0}(Q^2), determined a priori by the interaction employed, is not exceeded at any finite value of spacelike momentum transfer. Furthermore, in such a treatment of a vector-vector contact-interaction one obtains a \gamma * \gamma -> \pi ^0 transition form factor that disagrees markedly with all available data. We explain that the contact interaction produces a pion distribution amplitude which is flat and nonvanishing at the endpoints. This amplitude characterises a pointlike pion bound-state. Such a state has the hardest possible form factors; i.e., form factors which become constant at large momentum transfers and hence are in striking disagreement with completed experiments. On the other hand, interactions with QCD-like behaviour produce soft pions, a valence-quark distribution amplitude that vanishes as ~(1-x)^2 for x~1, and results that agree with the bulk of existing data. Our analysis supports a view that the large-Q^2 data obtained by the BaBar Collaboration is not an accurate measure of the \gamma * \gamma -> \pi ^0 form factor. ";"Nuclear Theory (nucl-th); High Energy Physics - Experiment (hep-ex); High Energy Physics - Lattice (hep-lat); High Energy Physics - Phenomenology (hep-ph); Nuclear Experiment (nucl-ex)"
https://arxiv.org/abs/1009.0215;Towards a nonequilibrium Green's function description of nuclear  reactions: one-dimensional mean-field dynamics; Arnau Rios (1,2),  Brent Barker (1),  Mark Buchler (1),  Pawel Danielewicz (1) ((1) National Superconducting Cyclotron Laboratory and Department of Physics and Astronomy, Michigan State University, (2) University of Surrey);  Nonequilibrium Green's function methods allow for an intrinsically consistent description of the evolution of quantal many-body body systems, with inclusion of different types of correlations. In this paper, we focus on the practical developments needed to build a Green's function methodology for nuclear reactions. We start out by considering symmetric collisions of slabs in one dimension within the mean-field approximation. We concentrate on two issues of importance for actual reaction simulations. First, the preparation of the initial state within the same methodology as for the reaction dynamics is demonstrated by an adiabatic switching on of the mean-field interaction, which leads to the mean-field ground state. Second, the importance of the Green's function matrix-elements far away from the spatial diagonal is analyzed by a suitable suppression process that does not significantly affect the evolution of the elements close to the diagonal. The relative lack of importance of the far-away elements is tied to system expansion. We also examine the evolution of the Wigner function and verify quantitatively that erasing of the off-diagonal elements corresponds to averaging out of the momentum-space details in the Wigner function. ;Nuclear Theory (nucl-th)
https://arxiv.org/abs/1009.0506;Recombination in nuclear collisions; Rudolph C. Hwa;  Recombination is a hadronization process that converts partons to hadrons at late time, but the description has no quantitative significance without some meaningful input on the parton distributions at earlier time. Thus observations of particle spectra and correlations have definitive implications on the partonic processes at all transverse momenta. After presenting a general review of the subject at the Workshop, I selected two topics in nuclear collisions for more detailed discussion, which are summarized here. One is on the azimuthal anisotropy at low $p_T$ due to hard or semihard scattering of partons that create ridges with or without triggers. The ridge particles are the products of recombination of thermal partons enhanced by the energy loss of hard or semihard partons. Their $\phi$ dependence at midrapidity can be determined essentially from geometry. The other topic is on the scaling behavior in $\phi$ and centrality at high $p_T$, where the hadronization process is dominated by TS and SS recombination. The relevant RHIC data are found to have the same scaling behavior. But at LHC such scaling is badly broken at $p_T \sim 10$ GeV/c if two-jet recombination is important. At the end of this article some comments are made to relate our study of the effects of semihard partons to the observation of minijets in the analyses of STAR data. ;Nuclear Theory (nucl-th)
https://arxiv.org/abs/1009.0520;Coupled-channels density-matrix approach to low-energy nuclear reaction  dynamics; Alexis Diaz-Torres;  Atomic nuclei are complex, quantum many-body systems whose structure manifests itself through intrinsic quantum states associated with different excitation modes or degrees of freedom. Collective modes (vibration and/or rotation) dominate at low energy (near the ground-state). The associated states are usually employed, within a truncated model space, as a basis in (coherent) coupled channels approaches to low-energy reaction dynamics. However, excluded states can be essential, and their effects on the open (nuclear) system dynamics are usually treated through complex potentials. Is this a complete description of open system dynamics? Does it include effects of quantum decoherence? Can decoherence be manifested in reaction observables? In this contribution, I discuss these issues and the main ideas of a coupled-channels density-matrix approach that makes it possible to quantify the role and importance of quantum decoherence in low-energy nuclear reaction dynamics. Topical applications, which refer to understanding the astrophysically important collision $^{12}$C + $^{12}$C and achieving a unified quantum dynamical description of relevant reaction processes of weakly-bound nuclei, are highlighted. ;Nuclear Theory (nucl-th)
https://arxiv.org/abs/1009.0573;Enhancement of sub-barrier fusion of two-neutron halo nuclei; P. R. S. Gomes,  L. F. Canto,  J. Lubian,  M. S. Hussein;  The tunneling of composite systems, where breakup may occur during the barrier penetration process is considered in connection with the fusion of halo-like radioactive, neutron- and proton-rich nuclei on heavy targets. The large amount of recent and new data clearly indicates that breakup hinders the fusion at near and below the Coulomb barrier energies. However, clear evidence for the halo enhancements, seems to over ride the breakup hindrance at lower energies, owing, to a large extent, to the extended matter density distribution. In particular we report here that at sub-barrier energies the fusion cross section of the Borromean two-neutron halo nucleus $^{6}$He with the actinide nucleus $^{238}$U is significantly enhanced compared to the fusion of a no-halo $^{6}$He. This conclusion differs from that of the original work, where it was claimed that no such enhancement ensues. This sub-barrier fusion enhancement was also observed in the $^{6}$He + $^{209}$% Bi system. The role of the corresponding easily excitable low lying dipole pygmy resonance in these systems is therefore significant. The consequence of this overall enhanced fusion of halo nuclei at sub-barrier energies, on stellar evolution and nucleosynthesis is evident. ;"Nuclear Theory (nucl-th); Nuclear Experiment (nucl-ex)"
https://arxiv.org/abs/1009.0624;Exploration of a modified density dependence in the Skyrme functional; J. Erler,  P. Klüpfel,  P.-G. Reinhard;  A variant of the basic Skyrme-Hartree-Fock (SHF) functional is considered dealing with a new form of density dependence. It employs only integer powers and thus will allow a more sound basis for projection schemes (particle number, angular momentum). We optimize the new functional with exactly the same adjustment strategy as used in an earlier study with a standard Skyrme functional. This allows direct comparisons of the performance of the new functional relative to the standard one. We discuss various observables: bulk properties of finite nuclei, nuclear matter, giant resonances, super-heavy elements, and energy systematics. The new functional performs at least as well as the standard one, but offers a wider range of applicability (e.g. for projection) and more flexibility in the regime of high densities. ;Nuclear Theory (nucl-th)
https://arxiv.org/abs/1009.0686;Effective short-range interaction for spin-singlet P-wave  nucleon-nucleon scattering; K. L. Ipson,  K. Helmke,  M. C. Birse;  Distorted-wave methods are used to remove the effects of one- and two-pion exchange up to order Q^3 from the empirical 1P1 phase shift. The one divergence that arises can be renormalised using an order-Q^2 counterterm which is provided by the (Weinberg) power counting appropriate to the effective field theory for this channel. The residual interaction is used to estimate the scale of the underlying physics. ;Nuclear Theory (nucl-th)
https://arxiv.org/abs/1009.0701;Indications of early thermalization in relativistic heavy-ion collisions; Piotr Bozek,  Iwona Wyskiel-Piekarska;  The directed flow of particles emitted from the fireball created in a heavy-ion collision is shown to be a very sensitive measure of the pressure equilibration in the first 1 fm/c of the evolution. Performing a 3+1 dimensional relativistic hydrodynamic calculation with nonequilibrated longitudinal and transverse pressures, we show that the directed flow is strongly reduced if the pressure imbalance survives for even a short time. Transverse momentum spectra, elliptic flow and interferometry correlation radii are not very sensitive to this early pressure anisotropy. Comparison with the data points toward a short equilibration time of the order of $0.25$fm/c or less. ;"Nuclear Theory (nucl-th); High Energy Physics - Phenomenology (hep-ph); Nuclear Experiment (nucl-ex)"
https://arxiv.org/abs/1009.0801;Finite temperature collective modes in a two phase coexistence region of  asymmetric nuclear matter; R. M. Aguirre,  A. L. De Paoli;  The relation between collective modes and the phase transition in low density nuclear matter is examined. The dispersion relations for collective modes in a linear approach are evaluated within a Landau-Fermi liquid scheme by assuming coexisting phases in thermodynamical equilibrium. Temperature and isospin composition are taken as relevant parameters. The in-medium nuclear interaction is taken from a recently proposed density functional model. We found significative modifications in the energy spectrum, within certain range of temperatures and isospin asymmetry, due to the separation of matter into independent phases. We conclude that detailed calculations should not neglect this effect. ;Nuclear Theory (nucl-th)
https://arxiv.org/abs/1009.0835;Combined Influence of Off-diagonal System Tensors and Potential Valley  Returning of the Optimal Path; Chun-Yang Wang;  The two-dimensional barrier passage is studied in the framework of Langevin statistical reactive dynamics. The optimal incident angle for a particle diffusing in the dissipative non-orthogonal environment with various strengths of coupling between the two degrees of freedom is systematically calculated. The optimal diffusion path of the particle in a non-Ohmic damping system is revealed to have a probability to return to the potential valley under the combined influence of the off-diagonal system tensors. ;Nuclear Theory (nucl-th)
