url;title;authors;abstract;subject
https://arxiv.org/abs/1501.00036;Chromatic control in coextruded layered polymer microlenses; Michael Crescimanno,  Tom N. Oder,  James H. Andrews,  Chuanhong Zhou,  Joshua B. Petrus,  Cory Merlo,  Cameron Bagheri,  Connor Hetzel,  James Tancabel,  Kenneth D. Singer,  Eric Baer;  We describe the formation, characterization and theoretical understanding of microlenses comprised of alternating polystyrene and polymethylmethacrylate layers produced by multilayer coextrusion. These lenses are fabricated by photolithography, using a grayscale mask followed by plasma etching, so that the refractive index alternation of the bilayer stack appears across the radius of the microlens. The alternating quarter-wave thick layers form a one-dimensional photonic crystal whose dispersion augments the material dispersion, allowing one to sculpt the chromatic dispersion of the lens by adjusting the layered structure. Using Huygen's principle, we model our experimental measurements of the focal length of these lenses across the reflection band of the multilayer polymer film from which the microlens is fashioned. For a 56 micron diameter multilayered lens of focal length 300 microns, we measured a nearly 25 percent variation in the focal length across a shallow, 50 nm-wide reflection band. ;Optics (physics.optics)
https://arxiv.org/abs/1501.00084;Designing an ultra negative dispersion Photonic Crystal Fiber (PCFs)  with square lattice geometry; Partha Sona Maji,  Partha Roy Chaudhuri;  In this article we have theoretically investigated the dispersion characteristics of dual-core PCF, based on square-lattice geometry by varying different parameters. The fiber exhibits a very large negative dispersion because of rapid slope change of the refractive indices at the coupling wavelength between the inner core and outer core. The dependence of different geometrical parameters namely hole-to-hole spacing (pitch) and different air-hole diameter (d) was investigated in detail. By proper adjustment of the available parameters, a high negative dispersion value of -47,500 ps/nm/km has been achieved around the wavelength of 1550nm. Our proposed fiber will be an excellent device for dispersion compensation in long-haul data transmission as being thousand times more than the available DCFs. ;Optics (physics.optics)
https://arxiv.org/abs/1501.00117;Rational design of metallic nanocavities for resonantly enhanced  four-wave mixing; Euclides Almeida,  Yehiam Prior;"  Optimizing the shape of nanostructures and nano antennas for specific optical properties has evolved to be a very fruitful activity. With modern fabrication tools a large variety of possibilities is available for shaping both nanoparticles and nanocavities; in particular nanocavities in thin metal films have emerged as attractive candidates for new metamaterials and strong linear and nonlinear optical systems. Here we rationally design metallic nanocavities to boost their Four Wave Mixing response by resonating the optical plasmonic resonances with the incoming and generated beams. The linear and nonlinear optical responses as well as the propagation of the electric fields inside the cavities are derived from the solution of Maxwell equations by using the 3D finite-differences time domain method. The observed conversion-efficiency of near infra-red to visible light equals or surpasses that of BBO of equivalent thickness. Implications to further optimization for efficient and broadband ultrathin nonlinear optical materials are discussed. ";Optics (physics.optics)
https://arxiv.org/abs/1501.00272;Intra-cavity gain shaping of mode-locked Ti:Sapphire laser oscillations; Shai Yefet,  Na'aman Amer,  Avi Pe'er;  The gain properties of an oscillator strongly affect its behavior. When the gain is homogeneous, different modes compete for gain resources in a `winner takes all' manner, whereas with inhomogeneous gain, modes can coexist if they utilize different gain resources. We demonstrate precise control over the mode competition in a mode locked Ti:sapphire oscillator by manipulation and spectral shaping of the gain properties, thus steering the competition towards a desired, otherwise inaccessible, oscillation. Specifically, by adding a small amount of spectrally shaped inhomogeneous gain to the standard homogeneous gain oscillator, we selectively enhance a desired two-color oscillation, which is inherently unstable to mode competition and could not exist in a purely homogeneous gain oscillator. By tuning the parameters of the additional inhomogeneous gain we flexibly control the center wavelengths, relative intensities and widths of the two colors. ;Optics (physics.optics)
https://arxiv.org/abs/1501.00351;Thermally Induced Nonlinear Optical Absorption in Metamaterial Perfect  Absorbers; Sriram Guddala,  Raghwendra Kumar,  S. Anantha Ramakrishna;  A metamaterial perfect absorber consisting of a tri-layer (Al/ZnS/Al) metal-dielectric-metal system with top aluminium nano-disks is fabricated by laser-interference lithography and lift-off processing. The metamaterial absorber had peak resonant absorbance at 1090 nm and showed nonlinear absorption for 600ps laser pulses at 1064 nm wavelength. A nonlinear saturation of reflectance was measured to be dependent on the average laser power incident and not the peak laser intensity. The nonlinear behaviour is shown to arise from the heating due to the absorbed radiation and photo-thermal changes in the dielectric properties of aluminium. The metamaterial absorber is seen to be damage resistant at large laser intensities of 25 MW/cm2. ;Optics (physics.optics)
https://arxiv.org/abs/1501.00382;Periodic transmission peaks in non-periodic disordered one-dimensional  photonic structures; Ilka Kriegel,  Francesco Scotognella;  A better understanding of the optical properties of a device structure characterized by a random arrangement of materials with different dielectric properties at a length scale comparable to the wavelength of light is crucial for the realization of new optical and optoelectronic devices. Here we have studied the light transmission of disordered photonic structures made with two and three different materials, characterized by the same optical thickness. In their transmission spectra a formation of peaks, with a transmission of up to 75%, is evident. The spectral position of such peaks is very regular, which is a result of the constraint that all layers have the same optical thickness. This gives rise to a manifold of applications such as new types of bandpass filters and resonators for distributed feedback lasers. ;Optics (physics.optics)
https://arxiv.org/abs/1501.00392;Scattering Suppression from Arbitrary Objects in Spatially-Dispersive  Layered Metamaterials; Alexander S. Shalin,  Pavel Ginzburg,  Alexey A. Orlov,  Ivan Iorsh,  Pavel A. Belov,  Yuri S. Kivshar,  Anatoly V. Zayats;  Concealing objects by making them invisible to an external electromagnetic probe is coined by the term cloaking. Cloaking devices, having numerous potential applications, are still face challenges in realization, especially in the visible spectral range. In particular, inherent losses and extreme parameters of metamaterials required for the cloak implementation are the limiting factors. Here, we numerically demonstrate nearly perfect suppression of scattering from arbitrary shaped objects in spatially dispersive metamaterial acting as an alignment-free concealing cover. We consider a realization of a metamaterial as a metal-dielectric multilayer and demonstrate suppression of scattering from an arbitrary object in forward and backward directions with perfectly preserved wavefronts and less than 10% absolute intensity change, despite spatial dispersion effects present in the composite metamaterial. Beyond the usual scattering suppression applications, the proposed configuration may serve as a simple realisation of scattering-free detectors and sensors. ;Optics (physics.optics)
https://arxiv.org/abs/1501.00394;Conversion of recoilless gamma-radiation into a periodic sequence of  ultrashort pulses in a set of dispersive and absorptive resonant media; Y.V. Radeonychev,  V.A. Antonov,  F.G. Vagizov,  R. N. Shakhmuratov,  Olga Kocharovskaya;  An efficient technique to produce a periodic sequence of ultrashort pulses of recoilless gamma-radiation via its transmission through the optically thick vibrating resonant absorber was demonstrated recently [Nature, 508, 80 (2014)]. In this work we extend the theoretical analysis to the case of a set of multiple absorbers. We consider an analytical model describing the control of spectral content of a frequency modulated gamma-radiation by selective correction of amplitudes and initial phases of some spectral components, using, respectively, the resonant absorption or dispersion of nuclei. On the basis of the analytical solutions we determine the ultimate possibilities of the proposed technique. ;"Optics (physics.optics); Atomic Physics (physics.atom-ph); Quantum Physics (quant-ph)"
https://arxiv.org/abs/1501.00545;Prospects and merits of metal-clad semiconductor lasers from nearly UV  to far IR; Jacob B. Khurgin;  Using metal-clad (or plasmonic) waveguide structures in semiconductor lasers carries a promise of reduced size, threshold, and power consumption. This promise is put to a rigorous theoretical test, that takes into account increased waveguide loss, Auger recombination, and Purcell enhancement of spontaneous recombination. The conclusion is that purported benefits of metal waveguides are small to nonexistent for all the band-to-band and intersubband lasers operating from UV to Mid-IR range, with a prominent exception of far-IR and THz quantum cascade lasers. For these devices, however, metal waveguides already represent the state of the art, and the guiding mechanism in them has far more in common with a ubiquitous transmission line than with plasmonics. ;Optics (physics.optics)
https://arxiv.org/abs/1501.00586;Design and properties of hollow antiresonant fibers for the visible and  near infrared spectral range; Walter Belardi;  Hollow core antiresonant fibers offer new possibilities in the near infrared and visible spectral range. I show here that the great flexibility of this technology can allow the design and fabrication of hollow core optical fibers with an extended transmission bandwidth in the near infrared and with very low optical attenuation in the visible wavelength regime. A very low attenuation of 175dB/km at 480nm is reported. A modification of the design of the studied fibers is proposed in order to achieve fast-responding gas detection. ;Optics (physics.optics)
