url;title;authors;abstract;subject
https://arxiv.org/abs/1401.0026;Simpler proof of the theorem by Pusey, Barrett, and Rudolph on the  reality of the quantum state; C. Moseley;  The theorem of Pusey, Barrett, and Rudolph proves that different quantum states describe different physical realities. Their proof is based on the construction of entanglement measurement bases of two, and more than two qbits. In this note, I show that a two-qubit entanglement base is sufficient for a general proof. ;Quantum Physics (quant-ph)
https://arxiv.org/abs/1401.0028;Emergence of stationary many-body entanglement in driven-dissipative  Rydberg lattice gases; S. K. Lee,  J. Cho,  K. S. Choi;"  Non-equilibrium quantum dynamics represents an emerging paradigm for condensed matter physics, quantum information science, and statistical mechanics. Strongly interacting Rydberg atoms offer an attractive platform to study driven-dissipative dynamics of quantum spin models with long-range order. Here, we explore the conditions under which stationary many-body entanglement persists with near-unit fidelity and high scalability. In our approach, coherent many-body dynamics is driven by Rydberg-mediated laser transitions, while atoms at the lattice boundary reduce the entropy of the many-body state. Surprisingly, the many-body entanglement is established by continuously evolving a locally dissipative Rydberg system towards the steady-state, as with optical pumping. We characterize the dynamics of multipartite entanglement in a 1D lattice by way of quantum uncertainty relations, and demonstrate the long-range behavior of the stationary entanglement with finite-size scaling, reaching ""hectapartite"" entanglement under experimental conditions. Our work opens a route towards dissipative preparation of many-body entanglement with unprecedented scaling behavior. ";Quantum Physics (quant-ph)
https://arxiv.org/abs/1401.0057;High fidelity state mapping performed in a V-type level structure via  stimulated Raman transition; Grzegorz Chimczak;  It is proved that a qubit encoded in excited states of a V-type quantum system cannot be perfectly transferred to the state of the cavity field mode using a single rectangular laser pulse. This obstacle can be overcome by using a two-stage protocol, in which the fidelity of a state-mapping operation can be increased to nearly one. ;Quantum Physics (quant-ph)
https://arxiv.org/abs/1401.0058;Secure quantum weak oblivious transfer against individual measurements; Guang Ping He;  In quantum weak oblivious transfer, Alice sends Bob two bits and Bob can learn one of the bits at his choice. It was found that the security of such a protocol is bounded by $2P_{Alice}^{\ast }+P_{Bob}^{\ast }\geq 2$, where $P_{Alice}^{\ast }$ is the probability with which Alice can guess Bob's choice, and $P_{Bob}^{\ast }$ is the probability with which Bob can guess both of Alice's bits\ given that he learns one of the bits with certainty. Here we propose a protocol and show that as long as Alice is restricted to individual measurements, then both $P_{Alice}^{\ast }$ and $P_{Bob}^{\ast }$ can be made arbitrarily close to 1/2, so that maximal violation of the security bound can be reached. Even with some limited collective attacks, the security bound can still be violated. Therefore, although our protocol still cannot break the bound in principle when Alice has unlimited cheating power, it is sufficient for achieving secure quantum weak oblivious transfer in practice. ;Quantum Physics (quant-ph)
https://arxiv.org/abs/1401.0064;Linearity of quantum probability measure and Hardy's model; Kazuo Fujikawa,  C.H. Oh,  Chengjie Zhang;"  We re-examine d=4 hidden-variables-models for a system of two spin-$1/2$ particles in view of the concrete model of Hardy, who analyzed the criterion of entanglement without referring to inequality. The basis of our analysis is the linearity of the probability measure related to the Born probability interpretation, which excludes non-contextual hidden-variables models in $d\geq 3$. To be specific, we note the inconsistency of the non-contextual hidden-variables model in $d=4$ with the linearity of the quantum mechanical probability measure in the sense $\langle\psi|{\bf a}\cdot {\bf \sigma}\otimes{\bf b}\cdot {\bf \sigma}|\psi\rangle+\langle\psi|{\bf a}\cdot {\bf \sigma}\otimes{\bf b}^{\prime}\cdot {\bf \sigma}|\psi\rangle=\langle\psi|{\bf a}\cdot {\bf \sigma}\otimes ({\bf b}+{\bf b}^{\prime})\cdot {\bf \sigma}|\psi\rangle$ for non-collinear ${\bf b}$ and ${\bf b}^{\prime}$. It is then shown that Hardy's model in $d=4$ does not lead to a unique mathematical expression in the demonstration of the discrepancy of local realism (hidden-variables model) with entanglement and thus his proof is incomplete. We identify the origin of this non-uniqueness with the non-uniqueness of translating quantum mechanical expressions into expressions in hidden-variables models, which results from the failure of the above linearity of the probability measure. In contrast, if the linearity of the probability measure is strictly imposed, which is tantamount to asking that the non-contextual hidden-variables model in $d=4$ gives the CHSH inequality $|\langle B\rangle|\leq 2$ uniquely, it is shown that the hidden-variables model can describe only separable quantum mechanical states; this conclusion is in perfect agreement with the so-called Gisin's theorem which states that $|\langle B\rangle|\leq 2$ implies separable states. ";Quantum Physics (quant-ph)
https://arxiv.org/abs/1401.0099;Invariants for maximally entangled vectors and unitary bases; Sibasish Ghosh,  Ajit Iqbal Singh;  The purpose of this paper is to study the equivalence relation on unitary bases defined by R. F. Werner [{\it J. Phys. A: Math. Gen.} {\bf 34} (2001) 7081], relate it to local operations on maximally entangled vectors bases, find an invariant for equivalence classes in terms of certain commuting systems, and, relate it to mutually unbiased bases and Hadamard matrices. Illustrations are given in the context of latin squares and projective representations as well. Applications to quantum tomography are indicated. ;"Quantum Physics (quant-ph); Mathematical Physics (math-ph)"
https://arxiv.org/abs/1401.0129;Twin paradox with macroscopic clocks in superconducting circuits; Joel Lindkvist,  Carlos Sabín,  Ivette Fuentes,  Andrzej Dragan,  Ida-Maria Svensson,  Per Delsing,  Göran Johansson;  We propose an implementation of a twin paradox scenario in superconducting circuits, with velocities as large as a few percent of the speed of light. Ultrafast modulation of the boundary conditions for the electromagnetic field in a microwave cavity simulates a clock moving at relativistic speeds. Since our cavity has a finite length, the setup allows us to investigate the role of clock size as well as interesting quantum effects on time dilation. In particular, our theoretical results show that the time dilation increases for larger cavity lengths and is shifted due to quantum particle creation. ;"Quantum Physics (quant-ph); Mesoscale and Nanoscale Physics (cond-mat.mes-hall); General Relativity and Quantum Cosmology (gr-qc)"
https://arxiv.org/abs/1401.0147;Spatial distribution of Spontaneous Parametric Down-Converted Photons  for higher order Optical Vortices; Shashi Prabhakar,  Salla Gangi Reddy,  A Aadhi,  Ashok Kumar,  Chithrabhanu P,  G. K. Samanta,  R. P. Singh;  We make a source of entangled photons (SEP) using spontaneous parametric down-conversion (SPDC) in a non-linear crystal and study the spatial distribution of photon pairs obtained through the down-conversion of different modes of light including higher order vortices. We observe that for the Gaussian pump, the thickness of the SPDC ring varies linearly with the radius of pump beam. However, in case of vortex carrying beams, two concentric SPDC rings are formed for beams above a critical radius. The full width at half maximum (FWHM) of SPDC rings increase with increase in the order of optical vortex beams. The presence of a critical beam width for the vortices as well as the observed FWHM of the SPDC rings are supported with our numerical results. ;"Quantum Physics (quant-ph); Optics (physics.optics)"
https://arxiv.org/abs/1401.0148;About transmission of thermal light through the surface of a body into  the vacuum; M. V. Lebedev;  The problem of the change of photon distribution of thermal light passing through the body surface into the vacuum is discussed. It is shown that the usual assumption that each photon passes through the boundary totally independent of others contradicts the expression for the fluctuation of thermal light found by A. Einstein. ;Quantum Physics (quant-ph)
https://arxiv.org/abs/1401.0167;Causality Violation and Nonlinear Quantum Mechanics; Jacques Pienaar;  It is currently unknown whether the laws of physics permit time travel into the past. While general relativity indicates the theoretical possibility of causality violation, it is now widely accepted that a theory of quantum gravity must play an essential role in such cases. As a striking example, the logical paradoxes usually associated with causality violation can be resolved by quantum effects. We ask whether the explicit construction of a theory that allows causality violation might in turn teach us something about quantum gravity. Taking the toy model of Deutsch as a starting point, in Part I we argue that, despite being a nonlinear modification of quantum mechanics, the model does not imply superluminal signalling and its predictions can be operationally verified by experimenters within an appropriate ontological setting. In Part II we show that the model can be directly applied to scalar quantum fields, provided the fields are sent back in time by an amount much larger than the coherence time of the wavepackets. We propose a generalisation of the model that lifts this constraint and recovers the predictions of standard quantum field theory when the size of the temporal jump is much smaller than the coherence time of the wavepackets. Finally, we discuss an extension of the model to ordinary gravitational time dilation. The resulting model generalises and extends earlier work on the topic and can be tested experimentally using current technology. ;Quantum Physics (quant-ph)
